"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ASUNCION (000)",9054,154,3067,2021,1565,1343,904
"Hombres (001)",4400,88,1588,1007,740,603,374
"Mujeres (002)",4654,66,1479,1014,825,740,530
"Viviendas particulares (003)",8953,150,3055,1973,1544,1332,899
"Hombres (004)",4333,85,1580,970,731,596,371
"Mujeres (005)",4620,65,1475,1003,813,736,528
"Viviendas colectivas (006)",95,4,12,46,21,9,3
"Hombres (007)",63,3,8,35,9,5,3
"Mujeres (008)",32,1,4,11,12,4,
"Otro tipo (009)",6,,,2,,2,2
"Hombres (010)",4,,,2,,2,
"Mujeres (011)",2,,,,,,2
,,,,,,,
"URBANA (012)",2302,47,824,520,527,243,141
"Hombres (013)",1168,26,445,259,252,129,57
"Mujeres (014)",1134,21,379,261,275,114,84
"Viviendas particulares (015)",2201,43,812,472,506,232,136
"Hombres (016)",1101,23,437,222,243,122,54
"Mujeres (017)",1100,20,375,250,263,110,82
"Viviendas colectivas (018)",95,4,12,46,21,9,3
"Hombres (019)",63,3,8,35,9,5,3
"Mujeres (020)",32,1,4,11,12,4,
"Otro tipo (021)",6,,,2,,2,2
"Hombres (022)",4,,,2,,2,
"Mujeres (023)",2,,,,,,2
,,,,,,,
"RURAL (024)",6752,107,2243,1501,1038,1100,763
"Hombres (025)",3232,62,1143,748,488,474,317
"Mujeres (026)",3520,45,1100,753,550,626,446
"Viviendas particulares (027)",6752,107,2243,1501,1038,1100,763
"Hombres (028)",3232,62,1143,748,488,474,317
"Mujeres (029)",3520,45,1100,753,550,626,446
