"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCA SANCOS (000)",10620,6319,966,78,3259
"Menos de 1 año (001)",190,159,8,,23
"De 1 a 14 años (002)",3506,2850,284,4,368
"De 15 a 29 años (003)",2271,1232,148,15,877
"De 30 a 44 años (004)",2005,906,259,40,801
"De 45 a 64 años (005)",1693,715,218,18,742
"De 65 y mas años (006)",955,457,49,1,448
"Hombres (008)",5153,2813,507,66,1768
"Menos de 1 año (009)",101,84,6,,11
"De 1 a 14 años (010)",1766,1426,150,1,189
"De 15 a 29 años (011)",1145,528,69,12,536
"De 30 a 44 años (012)",969,343,129,37,461
"De 45 a 64 años (013)",787,268,119,15,385
"De 65 y mas años (014)",385,164,34,1,186
"Mujeres (016)",5467,3506,459,12,1491
"Menos de 1 año (017)",89,75,2,,12
"De 1 a 14 años (018)",1740,1424,134,3,179
"De 15 a 29 años (019)",1126,704,79,3,341
"De 30 a 44 años (020)",1036,563,130,3,340
"De 45 a 64 años (021)",906,447,99,3,357
"De 65 y mas años (022)",570,293,15,,262
,,,,,
"URBANA (024)",7168,4097,832,50,2190
"Menos de 1 año (025)",124,97,8,,19
"De 1 a 14 años (026)",2431,1903,247,4,277
"De 15 a 29 años (027)",1515,788,111,10,606
"De 30 a 44 años (028)",1358,567,231,27,534
"De 45 a 64 años (029)",1095,428,188,9,470
"De 65 y mas años (030)",645,314,47,,284
"Hombres (032)",3473,1815,429,40,1190
"Menos de 1 año (033)",70,56,6,,8
"De 1 a 14 años (034)",1228,959,128,1,140
"De 15 a 29 años (035)",775,341,48,8,378
"De 30 a 44 años (036)",649,204,114,25,307
"De 45 a 64 años (037)",497,149,101,6,241
"De 65 y mas años (038)",254,106,32,,116
"Mujeres (040)",3695,2282,403,10,1000
"Menos de 1 año (041)",54,41,2,,11
"De 1 a 14 años (042)",1203,944,119,3,137
"De 15 a 29 años (043)",740,447,63,2,228
"De 30 a 44 años (044)",709,363,117,2,227
"De 45 a 64 años (045)",598,279,87,3,229
"De 65 y mas años (046)",391,208,15,,168
,,,,,
"RURAL (048)",3452,2222,134,28,1069
"Menos de 1 año (049)",66,62,,,4
"De 1 a 14 años (050)",1075,947,37,,91
"De 15 a 29 años (051)",756,444,37,5,271
"De 30 a 44 años (052)",647,339,28,13,267
"De 45 a 64 años (053)",598,287,30,9,272
"De 65 y mas años (054)",310,143,2,1,164
"Hombres (056)",1680,998,78,26,578
"Menos de 1 año (057)",31,28,,,3
"De 1 a 14 años (058)",538,467,22,,49
"De 15 a 29 años (059)",370,187,21,4,158
"De 30 a 44 años (060)",320,139,15,12,154
"De 45 a 64 años (061)",290,119,18,9,144
"De 65 y mas años (062)",131,58,2,1,70
"Mujeres (064)",1772,1224,56,2,491
"Menos de 1 año (065)",35,34,,,1
"De 1 a 14 años (066)",537,480,15,,42
"De 15 a 29 años (067)",386,257,16,1,113
"De 30 a 44 años (068)",327,200,13,1,113
"De 45 a 64 años (069)",308,168,12,,128
"De 65 y mas años (070)",179,85,,,94
