"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUARAZ (000)",131026,27357,40829,29999,22215,10626
"Sin nivel (001)",11935,590,800,2046,4150,4349
"Educación inicial (002)",1960,1853,71,36,,
"Primaria (003)",41830,19529,4959,6573,6859,3910
"Secundaria (004)",36930,5385,18454,7642,4385,1064
"Superior no univ. incompleta (005)",6559,,4186,1576,669,128
"Superior no univ. completa (006)",11013,,3350,4877,2283,503
"Superior univ. incompleta (007)",8526,,5985,1651,770,120
"Superior univ. completa (008)",12273,,3024,5598,3099,552
"PEA (010)",56085,557,18556,20419,13384,3169
"Sin nivel (011)",3318,20,255,788,1379,876
"Educación inicial (012)",53,9,23,21,,
"Primaria (013)",11348,308,2130,3375,3997,1538
"Secundaria (014)",16278,220,7406,5293,3001,358
"Superior no univ. incompleta (015)",3483,,1821,1130,485,47
"Superior no univ. completa (016)",7791,,2330,3805,1536,120
"Superior univ. incompleta (017)",4187,,2265,1279,587,56
"Superior univ. completa (018)",9627,,2326,4728,2399,174
"Ocupada (020)",52505,527,16737,19351,12829,3061
"Sin nivel (021)",3138,18,223,736,1314,847
"Educación inicial (022)",50,9,21,20,,
"Primaria (023)",10679,299,1924,3178,3798,1480
"Secundaria (024)",15034,201,6645,4972,2872,344
"Superior no univ. incompleta (025)",3231,,1655,1066,463,47
"Superior no univ. completa (026)",7340,,2117,3626,1478,119
"Superior univ. incompleta (027)",3908,,2059,1223,571,55
