"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN ROMAN (000)",227319,9700,52707,52298,41014,31208,20058,11071,9263
"Quechua (001)",67746,657,5717,10906,13349,13387,10557,6745,6428
"Aymara (002)",19399,68,1014,3095,4325,4732,3193,1673,1299
"Ashaninca (003)",48,1,11,4,13,9,3,1,6
"Otra lengua nativa (004)",60,,8,19,8,7,10,3,5
"Castellano (005)",139850,8962,45886,38217,23288,13048,6287,2642,1520
"Idioma extranjero (006)",40,,6,8,7,13,3,2,1
"Es sordomudo/a (007)",176,12,65,49,24,12,5,5,4
"Hombres (009)",111290,4862,26804,25851,19267,14796,9764,5604,4342
"Quechua (010)",31274,335,2940,5285,5971,5987,4774,3165,2817
"Aymara (011)",9530,39,499,1539,2048,2262,1631,886,626
"Ashaninca (012)",22,,6,2,3,4,2,,5
"Otra lengua nativa (013)",27,,6,7,3,4,3,1,3
"Castellano (014)",70324,4481,23312,18987,11228,6528,3352,1547,889
"Idioma extranjero (015)",23,,5,4,4,6,2,2,
"Es sordomudo/a (016)",90,7,36,27,10,5,,3,2
"Mujeres (018)",116029,4838,25903,26447,21747,16412,10294,5467,4921
"Quechua (019)",36472,322,2777,5621,7378,7400,5783,3580,3611
"Aymara (020)",9869,29,515,1556,2277,2470,1562,787,673
"Ashaninca (021)",26,1,5,2,10,5,1,1,1
"Otra lengua nativa (022)",33,,2,12,5,3,7,2,2
"Castellano (023)",69526,4481,22574,19230,12060,6520,2935,1095,631
"Idioma extranjero (024)",17,,1,4,3,7,1,,1
"Es sordomudo/a (025)",86,5,29,22,14,7,5,2,2
,,,,,,,,,
"URBANA (027)",208298,8840,48057,48774,38646,29141,18279,9472,7089
"Quechua (028)",54112,276,3259,8782,11604,11656,8941,5244,4350
"Aymara (029)",19270,68,1005,3073,4297,4704,3181,1660,1282
"Ashaninca (030)",48,1,11,4,13,9,3,1,6
"Otra lengua nativa (031)",59,,8,18,8,7,10,3,5
"Castellano (032)",134624,8484,43711,36850,22698,12742,6139,2558,1442
"Idioma extranjero (033)",30,,4,4,7,11,1,2,1
"Es sordomudo/a (034)",155,11,59,43,19,12,4,4,3
"Hombres (036)",102227,4423,24432,24150,18146,13860,8999,4861,3356
"Quechua (037)",25003,143,1665,4274,5193,5237,4110,2487,1894
"Aymara (038)",9472,39,493,1532,2039,2249,1625,879,616
"Ashaninca (039)",22,,6,2,3,4,2,,5
"Otra lengua nativa (040)",27,,6,7,3,4,3,1,3
"Castellano (041)",67606,4234,22228,18308,10898,6355,3258,1489,836
"Idioma extranjero (042)",19,,3,3,4,6,1,2,
"Es sordomudo/a (043)",78,7,31,24,6,5,,3,2
"Mujeres (045)",106071,4417,23625,24624,20500,15281,9280,4611,3733
"Quechua (046)",29109,133,1594,4508,6411,6419,4831,2757,2456
"Aymara (047)",9798,29,512,1541,2258,2455,1556,781,666
"Ashaninca (048)",26,1,5,2,10,5,1,1,1
"Otra lengua nativa (049)",32,,2,11,5,3,7,2,2
"Castellano (050)",67018,4250,21483,18542,11800,6387,2881,1069,606
"Idioma extranjero (051)",11,,1,1,3,5,,,1
"Es sordomudo/a (052)",77,4,28,19,13,7,4,1,1
,,,,,,,,,
"RURAL (054)",19021,860,4650,3524,2368,2067,1779,1599,2174
"Quechua (055)",13634,381,2458,2124,1745,1731,1616,1501,2078
"Aymara (056)",129,,9,22,28,28,12,13,17
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",5226,478,2175,1367,590,306,148,84,78
"Idioma extranjero (060)",10,,2,4,,2,2,,
"Es sordomudo/a (061)",21,1,6,6,5,,1,1,1
"Hombres (063)",9063,439,2372,1701,1121,936,765,743,986
"Quechua (064)",6271,192,1275,1011,778,750,664,678,923
"Aymara (065)",58,,6,7,9,13,6,7,10
"Castellano (068)",2718,247,1084,679,330,173,94,58,53
"Idioma extranjero (069)",4,,2,1,,,1,,
"Es sordomudo/a (070)",12,,5,3,4,,,,
"Mujeres (072)",9958,421,2278,1823,1247,1131,1014,856,1188
"Quechua (073)",7363,189,1183,1113,967,981,952,823,1155
"Aymara (074)",71,,3,15,19,15,6,6,7
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",2508,231,1091,688,260,133,54,26,25
"Idioma extranjero (078)",6,,,3,,2,1,,
"Es sordomudo/a (079)",9,1,1,3,1,,1,1,1
