"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SAN MIGUEL (000)",23875,3243,6955,6632,7045
"Asiste actualmente (001)",14696,1463,6599,5210,1424
"No asiste (002)",9179,1780,356,1422,5621
"Hombres (004)",12212,1659,3508,3455,3590
"Asiste actualmente (005)",7836,738,3338,2863,897
"No asiste (006)",4376,921,170,592,2693
"Mujeres (008)",11663,1584,3447,3177,3455
"Asiste actualmente (009)",6860,725,3261,2347,527
"No asiste (010)",4803,859,186,830,2928
,,,,,
"URBANA (012)",3535,472,1022,1017,1024
"Asiste actualmente (013)",2590,305,993,924,368
"No asiste (014)",945,167,29,93,656
"Hombres (016)",1833,251,499,556,527
"Asiste actualmente (017)",1361,160,487,512,202
"No asiste (018)",472,91,12,44,325
"Mujeres (020)",1702,221,523,461,497
"Asiste actualmente (021)",1229,145,506,412,166
"No asiste (022)",473,76,17,49,331
,,,,,
"RURAL (024)",20340,2771,5933,5615,6021
"Asiste actualmente (025)",12106,1158,5606,4286,1056
"No asiste (026)",8234,1613,327,1329,4965
"Hombres (028)",10379,1408,3009,2899,3063
"Asiste actualmente (029)",6475,578,2851,2351,695
"No asiste (030)",3904,830,158,548,2368
"Mujeres (032)",9961,1363,2924,2716,2958
"Asiste actualmente (033)",5631,580,2755,1935,361
"No asiste (034)",4330,783,169,781,2597
