"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHEPEN (000)",75772,1304,21277,19394,15703,12344,5750
"Jefe o Jefa (001)",19220,,11,2287,6431,6849,3642
"Esposa(o) / compañera(o) (002)",12599,,15,2676,5029,3808,1071
"Hijo(a) / hijastro(a) (003)",30705,819,15978,10460,2725,707,16
"Yerno / nuera (004)",1498,,15,875,508,94,6
"Nieto(a) (005)",5394,374,3858,1053,103,6,
"Padres / suegros (006)",862,,,,14,193,655
"Otro(a) pariente (007)",4408,103,1225,1572,664,543,301
"Trabajador(a) del hogar (008)",73,,5,51,11,5,1
"Pensionistas (009)",87,,2,36,32,12,5
"Otro(a) no pariente (010)",926,8,168,384,186,127,53
"Hombres (011)",37780,642,10847,9729,7482,6139,2941
"Jefe o Jefa (012)",14637,,7,1831,5112,5172,2515
"Esposa(o) / compañera(o) (013)",473,,6,114,147,146,60
"Hijo(a) / hijastro(a) (014)",15915,396,8129,5710,1351,324,5
"Yerno / nuera (015)",706,,5,315,310,70,6
"Nieto(a) (016)",2819,192,1981,576,67,3,
"Padres / suegros (017)",266,,,,3,58,205
"Otro(a) pariente (018)",2407,50,633,946,366,289,123
"Trabajador(a) del hogar (019)",6,,,5,1,,
"Pensionistas (020)",63,,1,25,23,10,4
"Otro(a) no pariente (021)",488,4,85,207,102,67,23
"Mujeres (022)",37992,662,10430,9665,8221,6205,2809
"Jefe o Jefa (023)",4583,,4,456,1319,1677,1127
"Esposa(o) / compañera(o) (024)",12126,,9,2562,4882,3662,1011
"Hijo(a) / hijastro(a) (025)",14790,423,7849,4750,1374,383,11
"Yerno / nuera (026)",792,,10,560,198,24,
"Nieto(a) (027)",2575,182,1877,477,36,3,
"Padres / suegros (028)",596,,,,11,135,450
"Otro(a) pariente (029)",2001,53,592,626,298,254,178
"Trabajador(a) del hogar (030)",67,,5,46,10,5,1
"Pensionistas (031)",24,,1,11,9,2,1
"Otro(a) no pariente (032)",438,4,83,177,84,60,30
,,,,,,,
"URBANA (033)",61946,1047,17018,15707,13077,10261,4836
"Jefe o Jefa (034)",15770,,9,1781,5261,5656,3063
"Esposa(o) / compañera(o) (035)",10160,,12,2031,4104,3135,878
"Hijo(a) / hijastro(a) (036)",24733,639,12510,8560,2391,617,16
"Yerno / nuera (037)",1289,,9,738,453,85,4
"Nieto(a) (038)",4695,318,3340,940,91,6,
"Padres / suegros (039)",727,,,,11,155,561
"Otro(a) pariente (040)",3566,83,973,1232,550,473,255
"Trabajador(a) del hogar (041)",70,,5,48,11,5,1
"Pensionistas (042)",84,,2,35,30,12,5
"Otro(a) no pariente (043)",852,7,158,342,175,117,53
"Hombres (044)",30489,508,8618,7774,6129,5031,2429
"Jefe o Jefa (045)",11799,,5,1391,4112,4210,2081
"Esposa(o) / compañera(o) (046)",372,,4,94,116,111,47
"Hijo(a) / hijastro(a) (047)",12657,298,6315,4602,1156,281,5
"Yerno / nuera (048)",617,,4,270,275,64,4
"Nieto(a) (049)",2435,166,1713,495,58,3,
"Padres / suegros (050)",215,,,,2,47,166
"Otro(a) pariente (051)",1901,41,500,717,297,247,99
"Trabajador(a) del hogar (052)",6,,,5,1,,
"Pensionistas (053)",60,,1,24,21,10,4
"Otro(a) no pariente (054)",427,3,76,176,91,58,23
"Mujeres (055)",31457,539,8400,7933,6948,5230,2407
"Jefe o Jefa (056)",3971,,4,390,1149,1446,982
"Esposa(o) / compañera(o) (057)",9788,,8,1937,3988,3024,831
"Hijo(a) / hijastro(a) (058)",12076,341,6195,3958,1235,336,11
"Yerno / nuera (059)",672,,5,468,178,21,
"Nieto(a) (060)",2260,152,1627,445,33,3,
"Padres / suegros (061)",512,,,,9,108,395
"Otro(a) pariente (062)",1665,42,473,515,253,226,156
"Trabajador(a) del hogar (063)",64,,5,43,10,5,1
"Pensionistas (064)",24,,1,11,9,2,1
"Otro(a) no pariente (065)",425,4,82,166,84,59,30
,,,,,,,
"RURAL (066)",13826,257,4259,3687,2626,2083,914
"Jefe o Jefa (067)",3450,,2,506,1170,1193,579
"Esposa(o) / compañera(o) (068)",2439,,3,645,925,673,193
"Hijo(a) / hijastro(a) (069)",5972,180,3468,1900,334,90,
"Yerno / nuera (070)",209,,6,137,55,9,2
"Nieto(a) (071)",699,56,518,113,12,,
"Padres / suegros (072)",135,,,,3,38,94
"Otro(a) pariente (073)",842,20,252,340,114,70,46
"Trabajador(a) del hogar (074)",3,,,3,,,
"Pensionistas (075)",3,,,1,2,,
"Otro(a) no pariente (076)",74,1,10,42,11,10,
"Hombres (077)",7291,134,2229,1955,1353,1108,512
"Jefe o Jefa (078)",2838,,2,440,1000,962,434
"Esposa(o) / compañera(o) (079)",101,,2,20,31,35,13
"Hijo(a) / hijastro(a) (080)",3258,98,1814,1108,195,43,
"Yerno / nuera (081)",89,,1,45,35,6,2
"Nieto(a) (082)",384,26,268,81,9,,
"Padres / suegros (083)",51,,,,1,11,39
"Otro(a) pariente (084)",506,9,133,229,69,42,24
"Pensionistas (086)",3,,,1,2,,
"Otro(a) no pariente (087)",61,1,9,31,11,9,
"Mujeres (088)",6535,123,2030,1732,1273,975,402
"Jefe o Jefa (089)",612,,,66,170,231,145
"Esposa(o) / compañera(o) (090)",2338,,1,625,894,638,180
"Hijo(a) / hijastro(a) (091)",2714,82,1654,792,139,47,
"Yerno / nuera (092)",120,,5,92,20,3,
"Nieto(a) (093)",315,30,250,32,3,,
"Padres / suegros (094)",84,,,,2,27,55
"Otro(a) pariente (095)",336,11,119,111,45,28,22
"Trabajador(a) del hogar (096)",3,,,3,,,
"Otro(a) no pariente (098)",13,,1,11,,1,
