"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAMALIES (000)",20112,427,6648,6627,4942,1468
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",77,,9,39,29,
"Profes., científicos e intelectuales (002)",1050,,195,618,232,5
"Técnicos de nivel medio y trab.asimilados (003)",203,,66,97,37,3
"Jefes y empleados de oficina (004)",198,,80,77,39,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",908,1,266,348,242,51
"Agricult.trabaj. calif. agrop. y pesqueros (006)",6504,,1424,2251,2093,736
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",361,3,113,129,91,25
"Obreros construc., conf., papel, fab., instr. (008)",352,2,102,151,90,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",8240,322,3506,2273,1666,473
"Otra (010)",34,,9,22,3,
"Ocupación no especificada (011)",441,,155,141,103,42
"Desocupado (012)",1744,99,723,481,317,124
"Hombres (013)",15377,296,5066,4983,3840,1192
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",58,,6,29,23,
"Profes., científicos e intelectuales (015)",591,,102,324,161,4
"Técnicos de nivel medio y trab.asimilados (016)",128,,41,53,31,3
"Jefes y empleados de oficina (017)",134,,40,55,37,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",353,,94,131,104,24
"Agricult.trabaj. calif. agrop. y pesqueros (019)",5915,,1292,2090,1870,663
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",307,2,96,109,79,21
"Obreros construc., conf., papel, fab., instr. (021)",350,2,102,149,90,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",6179,224,2761,1649,1175,370
"Otra (023)",34,,9,22,3,
"Ocupación no especificada (024)",137,,42,40,38,17
"Desocupado (025)",1191,68,481,332,229,81
"Mujeres (026)",4735,131,1582,1644,1102,276
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",19,,3,10,6,
"Profes., científicos e intelectuales (028)",459,,93,294,71,1
"Técnicos de nivel medio y trab.asimilados (029)",75,,25,44,6,
"Jefes y empleados de oficina (030)",64,,40,22,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",555,1,172,217,138,27
"Agricult.trabaj. calif. agrop. y pesqueros (032)",589,,132,161,223,73
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",54,1,17,20,12,4
"Obreros construc., conf., papel, fab., instr. (034)",2,,,2,,
