"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUALLAGA",,,,,,,,,
"Viviendas particulares (001)",3180,233,436,575,397,54,28,21,1436
"Ocupantes presentes (002)",13350,959,1799,2312,1636,259,111,93,6181
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3101,231,428,556,392,51,25,17,1401
"Ocupantes presentes (005)",12990,950,1762,2236,1614,242,99,70,6017
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",33,1,4,8,5,2,2,1,10
"Ocupantes presentes (011)",134,4,12,28,22,6,6,4,52
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",21,,4,7,,1,1,3,5
"Ocupantes presentes (014)",117,,25,35,,11,6,19,21
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",18,,,,,,,,18
"Ocupantes presentes (017)",81,,,,,,,,81
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,,2,,,,,
"Ocupantes presentes (020)",10,,,10,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",5,1,,2,,,,,2
"Ocupantes presentes (023)",18,5,,3,,,,,10
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2958,233,435,573,397,54,28,21,1217
"Ocupantes presentes (029)",12245,959,1789,2307,1636,259,111,93,5091
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2897,231,427,554,392,51,25,17,1200
"Ocupantes presentes (032)",11966,950,1752,2231,1614,242,99,70,5008
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",33,1,4,8,5,2,2,1,10
"Ocupantes presentes (038)",134,4,12,28,22,6,6,4,52
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",21,,4,7,,1,1,3,5
"Ocupantes presentes (041)",117,,25,35,,11,6,19,21
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,,2,,,,,
"Ocupantes presentes (047)",10,,,10,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,1,,2,,,,,2
"Ocupantes presentes (050)",18,5,,3,,,,,10
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",222,,1,2,,,,,219
"Ocupantes presentes (056)",1105,,10,5,,,,,1090
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",204,,1,2,,,,,201
"Ocupantes presentes (059)",1024,,10,5,,,,,1009
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",18,,,,,,,,18
"Ocupantes presentes (071)",81,,,,,,,,81
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
