"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CONCEPCION (000)",27703,23088,4615
"De 3 a 5 años (001)",3924,284,3640
"De 6 a 11 años (002)",8586,7816,770
"De 12 a 16 años (003)",7150,7087,63
"De 17 a 24 años (004)",8043,7901,142
"Hombres (005)",13980,11698,2282
"De 3 a 5 años (006)",1992,162,1830
"De 6 a 11 años (007)",4298,3908,390
"De 12 a 16 años (008)",3652,3633,19
"De 17 a 24 años (009)",4038,3995,43
"Mujeres (010)",13723,11390,2333
"De 3 a 5 años (011)",1932,122,1810
"De 6 a 11 años (012)",4288,3908,380
"De 12 a 16 años (013)",3498,3454,44
"De 17 a 24 años (014)",4005,3906,99
,,,
"URBANA (015)",13518,11661,1857
"De 3 a 5 años (016)",1685,154,1531
"De 6 a 11 años (017)",3843,3584,259
"De 12 a 16 años (018)",3608,3587,21
"De 17 a 24 años (019)",4382,4336,46
"Hombres (020)",6850,5908,942
"De 3 a 5 años (021)",871,86,785
"De 6 a 11 años (022)",1975,1838,137
"De 12 a 16 años (023)",1864,1860,4
"De 17 a 24 años (024)",2140,2124,16
"Mujeres (025)",6668,5753,915
"De 3 a 5 años (026)",814,68,746
"De 6 a 11 años (027)",1868,1746,122
"De 12 a 16 años (028)",1744,1727,17
"De 17 a 24 años (029)",2242,2212,30
,,,
"RURAL (030)",14185,11427,2758
"De 3 a 5 años (031)",2239,130,2109
"De 6 a 11 años (032)",4743,4232,511
"De 12 a 16 años (033)",3542,3500,42
"De 17 a 24 años (034)",3661,3565,96
"Hombres (035)",7130,5790,1340
"De 3 a 5 años (036)",1121,76,1045
"De 6 a 11 años (037)",2323,2070,253
"De 12 a 16 años (038)",1788,1773,15
"De 17 a 24 años (039)",1898,1871,27
"Mujeres (040)",7055,5637,1418
"De 3 a 5 años (041)",1118,54,1064
"De 6 a 11 años (042)",2420,2162,258
"De 12 a 16 años (043)",1754,1727,27
"De 17 a 24 años (044)",1763,1694,69
