"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",8327,1078,6,3301,2414,289,686,85,468
"Agric., ganadería, caza y silvicultura (001)",4843,882,5,2477,1301,70,63,18,27
"Pesca (002)",8,,,3,4,1,,,
"Explotación de minas y canteras (003)",594,,,77,218,81,98,16,104
"Industrias manufactureras (004)",128,8,,41,58,10,8,1,2
"Suministro de electricidad, gas y agua (005)",4,,,,2,1,1,,
"Construcción (006)",510,22,,207,223,24,18,6,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",466,21,1,181,201,17,36,1,8
"Venta, mant.y rep. veh.autom.y motoc. (008)",12,,,,5,1,5,,1
"Comercio al por mayor (009)",11,1,,4,4,,,,2
"Comercio al por menor (010)",443,20,1,177,192,16,31,1,5
"Hoteles y restaurantes (011)",225,65,,74,57,7,11,5,6
"Trans., almac. y comunicaciones (012)",113,3,,26,60,5,13,2,4
"Intermediación financiera (013)",5,,,,,1,1,,3
"Activid.inmobil., empres. y de alquiler (014)",53,1,,,16,3,10,4,19
"Admin.pub. y defensa; p. segur.soc.afil (015)",314,4,,37,110,12,109,8,34
"Enseñanza (016)",575,,,1,57,40,253,17,207
"Servicios sociales y de salud (017)",114,2,,16,9,4,44,4,35
"Otras activ. serv.comun.soc y personales (018)",44,4,,16,10,4,7,1,2
"Hogares privados con servicio doméstico (019)",57,8,,27,19,2,1,,
"Actividad economica no especificada (021)",274,58,,118,69,7,13,2,7
"Hombres (022)",5569,300,3,2227,1921,231,458,69,360
"Agric., ganadería, caza y silvicultura (023)",3330,280,2,1782,1114,60,50,17,25
"Pesca (024)",7,,,3,4,,,,
"Explotación de minas y canteras (025)",576,,,74,211,80,97,15,99
"Industrias manufactureras (026)",100,1,,32,51,9,6,,1
"Suministro de electricidad, gas y agua (027)",4,,,,2,1,1,,
"Construcción (028)",465,11,,187,211,23,17,6,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",170,1,1,48,85,11,19,,5
"Venta, mant.y rep. veh.autom.y motoc. (030)",11,,,,4,1,5,,1
"Comercio al por mayor (031)",9,1,,4,3,,,,1
"Comercio al por menor (032)",150,,1,44,78,10,14,,3
"Hoteles y restaurantes (033)",27,1,,3,10,4,4,1,4
"Trans., almac. y comunicaciones (034)",106,1,,22,59,5,13,2,4
"Intermediación financiera (035)",2,,,,,,,,2
"Activid.inmobil., empres. y de alquiler (036)",36,,,,12,2,6,2,14
"Admin.pub. y defensa; p. segur.soc.afil (037)",221,1,,29,86,6,65,8,26
"Enseñanza (038)",358,,,,33,23,147,14,141
"Servicios sociales y de salud (039)",52,,,3,3,3,21,1,21
"Otras activ. serv.comun.soc y personales (040)",11,1,,2,3,1,2,1,1
"Actividad economica no especificada (043)",104,3,,42,37,3,10,2,7
"Mujeres (044)",2758,778,3,1074,493,58,228,16,108
"Agric., ganadería, caza y silvicultura (045)",1513,602,3,695,187,10,13,1,2
"Pesca (046)",1,,,,,1,,,
"Explotación de minas y canteras (047)",18,,,3,7,1,1,1,5
