"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",25175,24449,6892,2270,2208,2065,3845,3269,3900,726
"Católica (001)",21275,20667,5788,1944,1859,1737,3269,2761,3309,608
"Cristiana/Evangélica (002)",2139,2088,594,186,195,173,317,281,342,51
"Otra (003)",1422,1368,409,108,119,116,207,197,212,54
"Ninguna (004)",339,326,101,32,35,39,52,30,37,13
,,,,,,,,,,
"URBANA (006)",6084,5817,1796,767,680,589,813,603,569,267
"Católica (007)",5051,4828,1446,656,572,493,680,497,484,223
"Cristiana/Evangélica (008)",425,409,138,51,52,40,51,40,37,16
"Otra (009)",455,434,155,42,40,41,61,55,40,21
"Ninguna (010)",153,146,57,18,16,15,21,11,8,7
,,,,,,,,,,
"RURAL (012)",19091,18632,5096,1503,1528,1476,3032,2666,3331,459
"Católica (013)",16224,15839,4342,1288,1287,1244,2589,2264,2825,385
"Cristiana/Evangélica (014)",1714,1679,456,135,143,133,266,241,305,35
"Otra (015)",967,934,254,66,79,75,146,142,172,33
"Ninguna (016)",186,180,44,14,19,24,31,19,29,6
