"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AZANGARO (000)",4640,1928,2712
"De 14 a 29 años (001)",2624,1482,1142
"De 30 a 44 años (002)",1292,389,903
"De 45 a 64 años (003)",578,57,521
"De 65 y más años (004)",146,,146
"Hombres (005)",3506,1276,2230
"De 14 a 29 años (006)",1787,933,854
"De 30 a 44 años (007)",1077,300,777
"De 45 a 64 años (008)",514,43,471
"De 65 y más años (009)",128,,128
"Mujeres (010)",1134,652,482
"De 14 a 29 años (011)",837,549,288
"De 30 a 44 años (012)",215,89,126
"De 45 a 64 años (013)",64,14,50
"De 65 y más años (014)",18,,18
,,,
"AREA URBANA (015)",1429,559,870
"De 14 a 29 años (016)",765,416,349
"De 30 a 44 años (017)",453,123,330
"De 45 a 64 años (018)",176,20,156
"De 65 y más años (019)",35,,35
"Hombres (020)",1054,370,684
"De 14 a 29 años (021)",518,264,254
"De 30 a 44 años (022)",357,91,266
"De 45 a 64 años (023)",150,15,135
"De 65 y más años (024)",29,,29
"Mujeres (025)",375,189,186
"De 14 a 29 años (026)",247,152,95
"De 30 a 44 años (027)",96,32,64
"De 45 a 64 años (028)",26,5,21
"De 65 y más años (029)",6,,6
,,,
"AREA RURAL (030)",3211,1369,1842
"De 14 a 29 años (031)",1859,1066,793
"De 30 a 44 años (032)",839,266,573
"De 45 a 64 años (033)",402,37,365
"De 65 y más años (034)",111,,111
"Hombres (035)",2452,906,1546
"De 14 a 29 años (036)",1269,669,600
"De 30 a 44 años (037)",720,209,511
"De 45 a 64 años (038)",364,28,336
"De 65 y más años (039)",99,,99
"Mujeres (040)",759,463,296
"De 14 a 29 años (041)",590,397,193
"De 30 a 44 años (042)",119,57,62
"De 45 a 64 años (043)",38,9,29
"De 65 y más años (044)",12,,12
