"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AIJA (000)",7955,155,2607,1736,1325,1226,906
"Casa independiente (001)",7208,140,2334,1581,1207,1116,830
"Vivienda en casa de vecindad (004)",76,1,23,21,12,16,3
"Choza o cabaña (005)",669,14,250,134,106,93,72
"Local no destinado para hab.humana (007)",2,,,,,1,1
,,,,,,,
"URBANA (009)",2488,43,723,511,431,424,356
"Casa independiente (010)",2410,42,700,490,419,407,352
"Vivienda en casa de vecindad (013)",76,1,23,21,12,16,3
"Local no destinado para hab.humana (016)",2,,,,,1,1
,,,,,,,
"RURAL (018)",5467,112,1884,1225,894,802,550
"Casa independiente (019)",4798,98,1634,1091,788,709,478
"Choza o cabaña (023)",669,14,250,134,106,93,72
