"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,26976,23378,,483,86.7,1.8
"De 12 a 14 años (001)",917,,,,,,
"De 15 a 19 años (002)",1158,147,145,47,98.6,32,
"De 20 a 24 años (003)",902,938,909,137,96.9,14.6,
"De 25 a 29 años (004)",704,1472,1416,101,96.2,6.9,
"De 30 a 34 años (005)",711,2289,2145,87,93.7,3.8,
"De 35 a 39 años (006)",610,2637,2425,62,92,2.4,
"De 40 a 44 años (007)",548,2863,2596,35,90.7,1.2,
"De 45 a 49 años (008)",512,3141,2771,14,88.2,0.4,
"De 50 y más años (009)",2259,13489,10971,,81.3,,
"PEA (010)",991,3359,3020,56,89.9,1.7,
"De 12 a 14 años (011)",11,,,,,,
"De 15 a 19 años (012)",52,6,6,,100,,
"De 20 a 24 años (013)",104,84,79,8,94,9.5,
"De 25 a 29 años (014)",136,207,204,15,98.6,7.2,
"De 30 a 34 años (015)",148,375,356,14,94.9,3.7,
"De 35 a 39 años (016)",128,437,405,15,92.7,3.4,
"De 40 a 44 años (017)",108,534,489,3,91.6,0.6,
"De 45 a 49 años (018)",88,465,409,1,88,0.2,
"De 50 y más años (019)",216,1251,1072,,85.7,,
"Ocupada (020)",918,3208,2884,53,89.9,1.7,
"De 12 a 14 años (021)",11,,,,,,
"De 15 a 19 años (022)",35,4,4,,100,,
"De 20 a 24 años (023)",82,78,73,8,93.6,10.3,
"De 25 a 29 años (024)",127,197,194,14,98.5,7.1,
"De 30 a 34 años (025)",142,354,338,13,95.5,3.7,
"De 35 a 39 años (026)",122,413,381,14,92.3,3.4,
"De 40 a 44 años (027)",107,532,487,3,91.5,0.6,
"De 45 a 49 años (028)",86,452,396,1,87.6,0.2,
"De 50 y más años (029)",206,1178,1011,,85.8,,
"Desocupada (030)",73,151,136,3,90.1,2,
"De 15 a 19 años (032)",17,2,2,,100,,
"De 20 a 24 años (033)",22,6,6,,100,,
"De 25 a 29 años (034)",9,10,10,1,100,10,
"De 30 a 34 años (035)",6,21,18,1,85.7,4.8,
"De 35 a 39 años (036)",6,24,24,1,100,4.2,
"De 40 a 44 años (037)",1,2,2,,100,,
"De 45 a 49 años (038)",2,13,13,,100,,
"De 50 y más años (039)",10,73,61,,83.6,,
