"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia TAYACAJA (000)",57980,33244,310,719,21352,723,52,104,228,1248
"Hombres (001)",21969,17199,202,407,2744,342,33,53,228,761
"Mujeres (002)",36011,16045,108,312,18608,381,19,51,,487
"De 06 a 14 años (003)",26988,26064,,,396,276,1,11,,240
"Hombres (004)",13709,13298,,,147,147,,5,,112
"Mujeres (005)",13279,12766,,,249,129,1,6,,128
"De 15 a 29 años (006)",14515,6984,8,214,6651,,32,14,225,387
"Hombres (007)",5283,3835,3,131,819,,19,7,225,244
"Mujeres (008)",9232,3149,5,83,5832,,13,7,,143
"De 30 a 44 años (009)",6810,125,23,156,6248,,9,19,3,227
"Hombres (010)",1006,46,9,98,665,,7,13,3,165
"Mujeres (011)",5804,79,14,58,5583,,2,6,,62
"De 45 a 64 años (012)",5754,53,94,166,5210,9,8,26,,188
"Hombres (013)",919,11,61,89,615,3,6,14,,120
"Mujeres (014)",4835,42,33,77,4595,6,2,12,,68
"De 65 y más años (015)",3913,18,185,183,2847,438,2,34,,206
"Hombres (016)",1052,9,129,89,498,192,1,14,,120
"Mujeres (017)",2861,9,56,94,2349,246,1,20,,86
,,,,,,,,,,
"AREA URBANA (018)",13580,8054,154,174,4510,194,3,20,216,255
"Hombres (019)",5598,4156,101,77,800,89,,11,216,148
"Mujeres (020)",7982,3898,53,97,3710,105,3,9,,107
"De 06 a 14 años (021)",6071,5857,,,114,55,,1,,44
"Hombres (022)",3087,2985,,,46,32,,1,,23
"Mujeres (023)",2984,2872,,,68,23,,,,21
"De 15 a 29 años (024)",3736,2133,4,47,1263,,2,4,213,70
"Hombres (025)",1664,1139,1,20,249,,,1,213,41
"Mujeres (026)",2072,994,3,27,1014,,2,3,,29
"De 30 a 44 años (027)",1495,44,4,36,1350,,,3,3,55
"Hombres (028)",260,24,2,16,175,,,2,3,38
"Mujeres (029)",1235,20,2,20,1175,,,1,,17
"De 45 a 64 años (030)",1261,13,48,44,1110,,1,1,,44
"Hombres (031)",254,4,28,16,181,,,1,,24
"Mujeres (032)",1007,9,20,28,929,,1,,,20
"De 65 y más años (033)",1017,7,98,47,673,139,,11,,42
"Hombres (034)",333,4,70,25,149,57,,6,,22
"Mujeres (035)",684,3,28,22,524,82,,5,,20
,,,,,,,,,,
"AREA RURAL (036)",44400,25190,156,545,16842,529,49,84,12,993
"Hombres (037)",16371,13043,101,330,1944,253,33,42,12,613
"Mujeres (038)",28029,12147,55,215,14898,276,16,42,,380
"De 06 a 14 años (039)",20917,20207,,,282,221,1,10,,196
"Hombres (040)",10622,10313,,,101,115,,4,,89
"Mujeres (041)",10295,9894,,,181,106,1,6,,107
"De 15 a 29 años (042)",10779,4851,4,167,5388,,30,10,12,317
"Hombres (043)",3619,2696,2,111,570,,19,6,12,203
"Mujeres (044)",7160,2155,2,56,4818,,11,4,,114
"De 30 a 44 años (045)",5315,81,19,120,4898,,9,16,,172
"Hombres (046)",746,22,7,82,490,,7,11,,127
"Mujeres (047)",4569,59,12,38,4408,,2,5,,45
"De 45 a 64 años (048)",4493,40,46,122,4100,9,7,25,,144
"Hombres (049)",665,7,33,73,434,3,6,13,,96
"Mujeres (050)",3828,33,13,49,3666,6,1,12,,48
"De 65 y más años (051)",2896,11,87,136,2174,299,2,23,,164
"Hombres (052)",719,5,59,64,349,135,1,8,,98
"Mujeres (053)",2177,6,28,72,1825,164,1,15,,66
