"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDORCANQUI (000)",10367,1577,20,5069,2601,286,424,103,287
"Empleado (001)",1081,5,,30,161,195,351,73,266
"Obrero (002)",551,32,,231,262,11,12,2,1
"Trabajador independiente (003)",5673,799,9,3028,1676,67,52,27,15
"Empleador o patrono (004)",39,,,19,16,1,2,1,
"Trabajador familiar no remunerado (005)",2898,731,11,1704,432,10,6,,4
"Trabajador del hogar (006)",125,10,,57,54,2,1,,1
"Hombres (008)",6023,411,4,2761,2047,207,306,83,204
"Empleado (009)",767,1,,19,119,132,252,57,187
"Obrero (010)",460,12,,181,244,11,10,1,1
"Trabajador independiente (011)",4078,325,3,2182,1440,53,38,24,13
"Empleador o patrono (012)",33,,,15,14,1,2,1,
"Trabajador familiar no remunerado (013)",670,72,1,358,223,9,4,,3
"Trabajador del hogar (014)",15,1,,6,7,1,,,
"Mujeres (016)",4344,1166,16,2308,554,79,118,20,83
"Empleado (017)",314,4,,11,42,63,99,16,79
"Obrero (018)",91,20,,50,18,,2,1,
"Trabajador independiente (019)",1595,474,6,846,236,14,14,3,2
"Empleador o patrono (020)",6,,,4,2,,,,
"Trabajador familiar no remunerado (021)",2228,659,10,1346,209,1,2,,1
"Trabajador del hogar (022)",110,9,,51,47,1,1,,1
,,,,,,,,,
"URBANA (024)",1617,63,2,441,594,99,200,42,176
"Empleado (025)",506,,,17,92,56,153,30,158
"Obrero (026)",177,2,,42,114,8,8,2,1
"Trabajador independiente (027)",659,36,1,266,268,30,36,10,12
"Empleador o patrono (028)",7,,,2,4,,1,,
"Trabajador familiar no remunerado (029)",169,19,1,67,74,3,1,,4
"Trabajador del hogar (030)",99,6,,47,42,2,1,,1
"Hombres (032)",1016,17,,230,405,72,141,29,122
"Empleado (033)",344,,,9,65,35,107,20,108
"Obrero (034)",155,1,,33,105,8,6,1,1
"Trabajador independiente (035)",441,14,,166,190,26,27,8,10
"Empleador o patrono (036)",4,,,1,2,,1,,
"Trabajador familiar no remunerado (037)",61,2,,16,38,2,,,3
"Trabajador del hogar (038)",11,,,5,5,1,,,
"Mujeres (040)",601,46,2,211,189,27,59,13,54
"Empleado (041)",162,,,8,27,21,46,10,50
"Obrero (042)",22,1,,9,9,,2,1,
"Trabajador independiente (043)",218,22,1,100,78,4,9,2,2
"Empleador o patrono (044)",3,,,1,2,,,,
"Trabajador familiar no remunerado (045)",108,17,1,51,36,1,1,,1
"Trabajador del hogar (046)",88,6,,42,37,1,1,,1
,,,,,,,,,
"RURAL (048)",8750,1514,18,4628,2007,187,224,61,111
"Empleado (049)",575,5,,13,69,139,198,43,108
"Obrero (050)",374,30,,189,148,3,4,,
"Trabajador independiente (051)",5014,763,8,2762,1408,37,16,17,3
"Empleador o patrono (052)",32,,,17,12,1,1,1,
"Trabajador familiar no remunerado (053)",2729,712,10,1637,358,7,5,,
"Trabajador del hogar (054)",26,4,,10,12,,,,
"Hombres (056)",5007,394,4,2531,1642,135,165,54,82
"Empleado (057)",423,1,,10,54,97,145,37,79
"Obrero (058)",305,11,,148,139,3,4,,
"Trabajador independiente (059)",3637,311,3,2016,1250,27,11,16,3
"Empleador o patrono (060)",29,,,14,12,1,1,1,
"Trabajador familiar no remunerado (061)",609,70,1,342,185,7,4,,
"Trabajador del hogar (062)",4,1,,1,2,,,,
"Mujeres (064)",3743,1120,14,2097,365,52,59,7,29
"Empleado (065)",152,4,,3,15,42,53,6,29
"Obrero (066)",69,19,,41,9,,,,
"Trabajador independiente (067)",1377,452,5,746,158,10,5,1,
"Empleador o patrono (068)",3,,,3,,,,,
"Trabajador familiar no remunerado (069)",2120,642,9,1295,173,,1,,
"Trabajador del hogar (070)",22,3,,9,10,,,,
