"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ESPINAR (000)",22864,514,6818,7718,5865,1949
"Empleado (001)",2893,35,1014,1270,550,24
"Obrero (002)",3677,27,1404,1331,808,107
"Trabajador independiente (003)",10875,81,2495,3678,3279,1342
"Empleador o patrono (004)",222,1,64,73,70,14
"Trabajador familiar no remunerado (005)",4957,346,1684,1342,1133,452
"Trabajador del hogar (006)",240,24,157,24,25,10
"Hombres (008)",13426,278,3857,4586,3572,1133
"Empleado (009)",1944,20,582,882,442,18
"Obrero (010)",3240,19,1232,1201,714,74
"Trabajador independiente (011)",6512,51,1313,2131,2130,887
"Empleador o patrono (012)",157,1,43,47,54,12
"Trabajador familiar no remunerado (013)",1546,185,672,322,226,141
"Trabajador del hogar (014)",27,2,15,3,6,1
"Mujeres (016)",9438,236,2961,3132,2293,816
"Empleado (017)",949,15,432,388,108,6
"Obrero (018)",437,8,172,130,94,33
"Trabajador independiente (019)",4363,30,1182,1547,1149,455
"Empleador o patrono (020)",65,,21,26,16,2
"Trabajador familiar no remunerado (021)",3411,161,1012,1020,907,311
"Trabajador del hogar (022)",213,22,142,21,19,9
,,,,,,
"URBANA (024)",9491,183,3226,3760,2041,281
"Empleado (025)",2542,33,859,1138,493,19
"Obrero (026)",2070,19,842,767,420,22
"Trabajador independiente (027)",3878,47,1129,1574,935,193
"Empleador o patrono (028)",163,1,50,56,51,5
"Trabajador familiar no remunerado (029)",667,64,233,204,128,38
"Trabajador del hogar (030)",171,19,113,21,14,4
"Hombres (032)",5914,109,1983,2293,1366,163
"Empleado (033)",1685,19,498,765,389,14
"Obrero (034)",1924,15,777,710,403,19
"Trabajador independiente (035)",1923,34,557,732,492,108
"Empleador o patrono (036)",121,1,37,36,42,5
"Trabajador familiar no remunerado (037)",241,38,101,48,37,17
"Trabajador del hogar (038)",20,2,13,2,3,
"Mujeres (040)",3577,74,1243,1467,675,118
"Empleado (041)",857,14,361,373,104,5
"Obrero (042)",146,4,65,57,17,3
"Trabajador independiente (043)",1955,13,572,842,443,85
"Empleador o patrono (044)",42,,13,20,9,
"Trabajador familiar no remunerado (045)",426,26,132,156,91,21
"Trabajador del hogar (046)",151,17,100,19,11,4
,,,,,,
"RURAL (048)",13373,331,3592,3958,3824,1668
"Empleado (049)",351,2,155,132,57,5
"Obrero (050)",1607,8,562,564,388,85
"Trabajador independiente (051)",6997,34,1366,2104,2344,1149
"Empleador o patrono (052)",59,,14,17,19,9
"Trabajador familiar no remunerado (053)",4290,282,1451,1138,1005,414
"Trabajador del hogar (054)",69,5,44,3,11,6
"Hombres (056)",7512,169,1874,2293,2206,970
"Empleado (057)",259,1,84,117,53,4
"Obrero (058)",1316,4,455,491,311,55
"Trabajador independiente (059)",4589,17,756,1399,1638,779
"Empleador o patrono (060)",36,,6,11,12,7
"Trabajador familiar no remunerado (061)",1305,147,571,274,189,124
"Trabajador del hogar (062)",7,,2,1,3,1
"Mujeres (064)",5861,162,1718,1665,1618,698
"Empleado (065)",92,1,71,15,4,1
"Obrero (066)",291,4,107,73,77,30
"Trabajador independiente (067)",2408,17,610,705,706,370
"Empleador o patrono (068)",23,,8,6,7,2
"Trabajador familiar no remunerado (069)",2985,135,880,864,816,290
"Trabajador del hogar (070)",62,5,42,2,8,5
