"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BOLIVAR (000)",4179,600,631,2192,30,625,101
"Sin nivel (001)",473,3,82,282,,86,20
"Educación inicial (002)",6,,,1,1,4,
"Primaria (003)",2137,21,345,1341,15,364,51
"Secundaria (004)",826,90,155,416,6,143,16
"Superior no univ. incompleta (005)",83,25,12,36,2,7,1
"Superior no univ. completa (006)",351,255,22,52,5,12,5
"Superior univ. incompleta (007)",56,37,3,10,,5,1
"Superior univ. completa (008)",247,169,12,54,1,4,7
"Hombres (010)",3393,356,553,1989,28,455,12
"Sin nivel (011)",361,1,57,251,,48,4
"Educación inicial (012)",6,,,1,1,4,
"Primaria (013)",1837,15,305,1231,14,268,4
"Secundaria (014)",703,63,143,373,5,116,3
"Superior no univ. incompleta (015)",65,17,12,30,2,3,1
"Superior no univ. completa (016)",216,139,21,43,5,8,
"Superior univ. incompleta (017)",32,14,3,10,,5,
"Superior univ. completa (018)",173,107,12,50,1,3,
"Mujeres (020)",786,244,78,203,2,170,89
"Sin nivel (021)",112,2,25,31,,38,16
"Primaria (023)",300,6,40,110,1,96,47
"Secundaria (024)",123,27,12,43,1,27,13
"Superior no univ. incompleta (025)",18,8,,6,,4,
"Superior no univ. completa (026)",135,116,1,9,,4,5
"Superior univ. incompleta (027)",24,23,,,,,1
"Superior univ. completa (028)",74,62,,4,,1,7
,,,,,,,
"URBANA (030)",1651,501,276,628,7,168,71
"Sin nivel (031)",85,3,20,33,,18,11
"Educación inicial (032)",1,,,,,1,
"Primaria (033)",582,18,136,316,,75,37
"Secundaria (034)",432,78,94,192,2,55,11
"Superior no univ. incompleta (035)",57,16,6,25,2,7,1
"Superior no univ. completa (036)",257,203,10,30,3,8,3
"Superior univ. incompleta (037)",40,32,3,2,,2,1
"Superior univ. completa (038)",197,151,7,30,,2,7
"Hombres (040)",1160,294,233,525,6,97,5
"Sin nivel (041)",37,1,7,22,,5,2
"Educación inicial (042)",1,,,,,1,
"Primaria (043)",425,12,113,265,,34,1
"Secundaria (044)",355,54,88,165,1,46,1
"Superior no univ. incompleta (045)",42,10,6,20,2,3,1
"Superior no univ. completa (046)",150,110,9,24,3,4,
"Superior univ. incompleta (047)",19,12,3,2,,2,
"Superior univ. completa (048)",131,95,7,27,,2,
"Mujeres (050)",491,207,43,103,1,71,66
"Sin nivel (051)",48,2,13,11,,13,9
"Primaria (053)",157,6,23,51,,41,36
"Secundaria (054)",77,24,6,27,1,9,10
"Superior no univ. incompleta (055)",15,6,,5,,4,
"Superior no univ. completa (056)",107,93,1,6,,4,3
"Superior univ. incompleta (057)",21,20,,,,,1
"Superior univ. completa (058)",66,56,,3,,,7
,,,,,,,
"RURAL (060)",2528,99,355,1564,23,457,30
"Sin nivel (061)",388,,62,249,,68,9
"Educación inicial (062)",5,,,1,1,3,
"Primaria (063)",1555,3,209,1025,15,289,14
"Secundaria (064)",394,12,61,224,4,88,5
"Superior no univ. incompleta (065)",26,9,6,11,,,
"Superior no univ. completa (066)",94,52,12,22,2,4,2
"Superior univ. incompleta (067)",16,5,,8,,3,
"Superior univ. completa (068)",50,18,5,24,1,2,
"Hombres (070)",2233,62,320,1464,22,358,7
"Sin nivel (071)",324,,50,229,,43,2
"Educación inicial (072)",5,,,1,1,3,
"Primaria (073)",1412,3,192,966,14,234,3
"Secundaria (074)",348,9,55,208,4,70,2
"Superior no univ. incompleta (075)",23,7,6,10,,,
"Superior no univ. completa (076)",66,29,12,19,2,4,
"Superior univ. incompleta (077)",13,2,,8,,3,
"Superior univ. completa (078)",42,12,5,23,1,1,
"Mujeres (080)",295,37,35,100,1,99,23
"Sin nivel (081)",64,,12,20,,25,7
"Primaria (083)",143,,17,59,1,55,11
"Secundaria (084)",46,3,6,16,,18,3
"Superior no univ. incompleta (085)",3,2,,1,,,
"Superior no univ. completa (086)",28,23,,3,,,2
"Superior univ. incompleta (087)",3,3,,,,,
"Superior univ. completa (088)",8,6,,1,,1,
