"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARABAYA (000)",24692,23969,7946,2836,2888,2498,3590,2291,1212,708,723,64772
"De 12 a 14 años (001)",2681,2662,2650,7,5,,,,,,19,17
"De 15 a 19 años (002)",3682,3636,3174,378,69,9,6,,,,46,567
"De 20 a 24 años (003)",3223,2975,1164,973,614,173,44,7,,,248,2945
"De 25 a 29 años (004)",2956,2750,362,622,799,610,330,25,2,,206,5627
"De 30 a 34 años (005)",2391,2327,148,282,481,515,675,194,28,4,64,7231
"De 35 a 39 años (006)",2211,2175,78,177,333,404,700,362,102,19,36,8515
"De 40 a 44 años (007)",1765,1745,71,98,172,221,502,401,205,75,20,8449
"De 45 a 49 años (008)",1344,1331,52,68,104,165,340,313,214,75,13,6928
"De 50 y más años (009)",4439,4368,247,231,311,401,993,989,661,535,71,24493
"PEA (010)",9625,9257,1898,1352,1382,1227,1636,988,504,270,368,28609
"De 12 a 14 años (011)",164,161,159,2,,,,,,,3,2
"De 15 a 19 años (012)",898,879,688,158,30,2,1,,,,19,228
"De 20 a 24 años (013)",1463,1339,564,442,240,74,15,4,,,124,1230
"De 25 a 29 años (014)",1387,1262,201,297,360,256,136,11,1,,125,2441
"De 30 a 34 años (015)",1174,1132,91,159,260,252,270,82,17,1,42,3267
"De 35 a 39 años (016)",1179,1157,45,108,208,235,335,174,46,6,22,4272
"De 40 a 44 años (017)",878,864,32,59,91,133,256,178,80,35,14,3972
"De 45 a 49 años (018)",673,667,30,36,58,92,178,152,87,34,6,3315
"De 50 y más años (019)",1809,1796,88,91,135,183,445,387,273,194,13,9882
"Ocupada (020)",9024,8724,1588,1285,1334,1199,1593,968,494,263,300,27885
"De 12 a 14 años (021)",145,142,140,2,,,,,,,3,2
