"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CANGALLO (000)",34605,684,12399,7676,5710,4862,3274
"Casa independiente (001)",32881,654,11795,7320,5438,4581,3093
"Vivienda en quinta (003)",90,2,23,30,19,11,5
"Vivienda en casa de vecindad (004)",158,3,59,35,30,21,10
"Choza o cabaña (005)",1457,25,514,286,217,249,166
"Local no destinado para hab.humana (007)",19,,8,5,6,,
,,,,,,,
"URBANA (009)",11889,243,4199,2748,2162,1549,988
"Casa independiente (010)",11627,238,4112,2679,2108,1517,973
"Vivienda en quinta (012)",90,2,23,30,19,11,5
"Vivienda en casa de vecindad (013)",158,3,59,35,30,21,10
"Local no destinado para hab.humana (016)",14,,5,4,5,,
,,,,,,,
"RURAL (018)",22716,441,8200,4928,3548,3313,2286
"Casa independiente (019)",21254,416,7683,4641,3330,3064,2120
"Choza o cabaña (023)",1457,25,514,286,217,249,166
"Local no destinado para hab.humana (025)",5,,3,1,1,,
