"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BELLAVISTA (000)",12039,11713,54,2308,2504,2000,2477,1399,688,283,326,42073
"De 12 a 14 años (001)",43,21,,18,3,,,,,,22,24
"De 15 a 19 años (002)",788,709,7,581,109,11,1,,,,79,836
"De 20 a 24 años (003)",1663,1573,18,786,564,169,34,2,,,90,2575
"De 25 a 29 años (004)",1766,1712,9,441,619,401,227,13,2,,54,3936
"De 30 a 34 años (005)",1610,1589,4,182,501,409,418,64,9,2,21,4731
"De 35 a 39 años (006)",1455,1446,3,103,271,383,497,155,31,3,9,5255
"De 40 a 44 años (007)",1213,1195,2,51,169,250,433,206,66,18,18,5133
"De 45 a 49 años (008)",932,924,3,44,109,144,281,215,99,29,8,4455
"De 50 y más años (009)",2569,2544,8,102,159,233,586,744,481,231,25,15128
"PEA (010)",3693,3574,16,698,812,656,776,400,154,62,119,12228
"De 12 a 14 años (011)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (012)",150,138,,109,27,1,1,,,,12,170
"De 20 a 24 años (013)",422,384,5,221,120,34,4,,,,38,580
"De 25 a 29 años (014)",513,473,2,158,157,95,60,1,,,40,1018
"De 30 a 34 años (015)",563,551,3,81,190,131,130,12,3,1,12,1526
"De 35 a 39 años (016)",570,566,,56,137,166,159,41,6,1,4,1843
"De 40 a 44 años (017)",471,466,1,32,86,110,150,67,15,5,5,1806
"De 45 a 49 años (018)",340,340,2,20,48,57,109,71,24,9,,1522
"De 50 y más años (019)",660,655,3,20,47,62,163,208,106,46,5,3762
"Ocupada (020)",3652,3539,15,686,804,651,772,398,152,61,113,12128
"De 12 a 14 años (021)",4,1,,1,,,,,,,3,1
