"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia EL COLLAO (000)",75295,11400,1692,28760,25923,2325,2045,1435,1715
"Jefe o Jefa (001)",26378,4043,7,10417,8803,741,989,458,920
"Esposa(o)/ compa¤era(o) (002)",13865,2882,11,5854,4219,244,312,107,236
"Hijo(a)/ hijastro(a) (003)",29836,3432,1478,10769,11213,1144,594,770,436
"Yerno/ nuera (004)",727,8,,103,456,53,46,19,42
"Nieto(a) (005)",1255,304,112,535,267,15,8,8,6
"Padres/ suegros (006)",466,306,,120,30,,4,2,4
"Otro(a) pariente (007)",2401,381,81,875,788,104,62,57,53
"Trabajador(a) del hogar (008)",32,,,9,16,4,1,1,1
"Pensionista (009)",5,1,,1,1,,,2,
"Otro(a) no pariente (010)",330,43,3,77,130,20,29,11,17
"Hombres (012)",37869,3639,910,13805,14693,1419,1270,939,1194
"Jefe o Jefa (013)",18838,1458,6,7563,7194,615,807,382,813
"Esposa(o)/ compa¤era(o) (014)",659,27,2,157,330,42,38,24,39
"Hijo(a)/ hijastro(a) (015)",15853,1778,790,5238,6304,659,343,470,271
"Yerno/ nuera (016)",298,3,,25,187,25,26,12,20
"Nieto(a) (017)",644,156,62,261,144,10,4,5,2
"Padres/ suegros (018)",140,52,,63,16,,3,2,4
"Otro(a) pariente (019)",1255,147,50,453,441,58,36,36,34
"Trabajador(a) del hogar (020)",8,,,2,5,1,,,
"Pensionista (021)",4,,,1,1,,,2,
"Otro(a) no pariente (022)",170,18,,42,71,9,13,6,11
"Mujeres (024)",37426,7761,782,14955,11230,906,775,496,521
"Jefe o Jefa (025)",7540,2585,1,2854,1609,126,182,76,107
"Esposa(o)/ compa¤era(o) (026)",13206,2855,9,5697,3889,202,274,83,197
"Hijo(a)/ hijastro(a) (027)",13983,1654,688,5531,4909,485,251,300,165
"Yerno/ nuera (028)",429,5,,78,269,28,20,7,22
"Nieto(a) (029)",611,148,50,274,123,5,4,3,4
"Padres/ suegros (030)",326,254,,57,14,,1,,
"Otro(a) pariente (031)",1146,234,31,422,347,46,26,21,19
"Trabajador(a) del hogar (032)",24,,,7,11,3,1,1,1
"Pensionista (033)",1,1,,,,,,,
"Otro(a) no pariente (034)",160,25,3,35,59,11,16,5,6
,,,,,,,,,
"URBANA (036)",22209,1930,580,6835,8062,1297,1259,980,1266
"Jefe o Jefa (037)",7373,466,4,2094,2815,420,613,297,664
"Esposa(o)/ compa¤era(o) (038)",3673,262,3,1239,1461,177,239,92,200
"Hijo(a)/ hijastro(a) (039)",8908,915,481,2853,2996,552,292,513,306
"Yerno/ nuera (040)",273,5,,14,143,36,32,15,28
"Nieto(a) (041)",372,85,41,163,67,7,2,4,3
"Padres/ suegros (042)",155,58,,63,25,,3,2,4
"Otro(a) pariente (043)",1171,114,49,349,437,84,50,44,44
"Trabajador(a) del hogar (044)",29,,,9,13,4,1,1,1
"Pensionista (045)",5,1,,1,1,,,2,
"Otro(a) no pariente (046)",250,24,2,50,104,17,27,10,16
