"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia HUANCABAMBA",,,,,,,,,
"Viviendas particulares (001)",28586,7980,10498,4237,3175,1056,825,272,543
"Ocupantes presentes (002)",123735,31916,45919,19180,14383,4895,3695,1192,2555
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28025,7625,10346,4204,3163,1050,824,272,541
"Ocupantes presentes (005)",121579,30662,45282,19024,14337,4844,3691,1192,2547
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",32,14,12,1,1,1,1,,2
"Ocupantes presentes (011)",121,45,40,10,9,5,4,,8
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",51,25,16,5,1,4,,,
"Ocupantes presentes (014)",194,62,71,22,4,35,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",457,297,122,27,10,1,,,
"Ocupantes presentes (017)",1779,1088,523,124,33,11,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",10,10,,,,,,,
"Ocupantes presentes (020)",32,32,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,7,2,,,,,,
"Ocupantes presentes (023)",19,16,3,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,2,,,,,,,
"Ocupantes presentes (026)",11,11,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3864,564,874,618,705,349,301,129,324
"Ocupantes presentes (029)",15078,1736,3273,2372,2841,1565,1251,531,1509
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3768,513,845,612,703,344,300,129,322
"Ocupantes presentes (032)",14722,1589,3161,2340,2828,1525,1247,531,1501
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",32,14,12,1,1,1,1,,2
"Ocupantes presentes (038)",121,45,40,10,9,5,4,,8
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",51,25,16,5,1,4,,,
"Ocupantes presentes (041)",194,62,71,22,4,35,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",10,10,,,,,,,
"Ocupantes presentes (047)",32,32,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,1,1,,,,,,
"Ocupantes presentes (050)",4,3,1,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",1,1,,,,,,,
"Ocupantes presentes (053)",5,5,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",24722,7416,9624,3619,2470,707,524,143,219
"Ocupantes presentes (056)",108657,30180,42646,16808,11542,3330,2444,661,1046
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",24257,7112,9501,3592,2460,706,524,143,219
"Ocupantes presentes (059)",106857,29073,42121,16684,11509,3319,2444,661,1046
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",457,297,122,27,10,1,,,
"Ocupantes presentes (071)",1779,1088,523,124,33,11,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",7,6,1,,,,,,
"Ocupantes presentes (077)",15,13,2,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,,
"Ocupantes presentes (080)",6,6,,,,,,,
