"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ASCOPE (000)",46014,6075,12647,11412,15880
"Asiste actualmente (001)",31031,3781,12191,10085,4974
"No asiste (002)",14983,2294,456,1327,10906
"Hombres (004)",23494,3153,6426,5758,8157
"Asiste actualmente (005)",15713,1942,6207,5054,2510
"No asiste (006)",7781,1211,219,704,5647
"Mujeres (008)",22520,2922,6221,5654,7723
"Asiste actualmente (009)",15318,1839,5984,5031,2464
"No asiste (010)",7202,1083,237,623,5259
,,,,,
"URBANA (012)",40238,5276,11141,10048,13773
"Asiste actualmente (013)",27591,3357,10766,8967,4501
"No asiste (014)",12647,1919,375,1081,9272
"Hombres (016)",20525,2747,5664,5059,7055
"Asiste actualmente (017)",13988,1739,5483,4485,2281
"No asiste (018)",6537,1008,181,574,4774
"Mujeres (020)",19713,2529,5477,4989,6718
"Asiste actualmente (021)",13603,1618,5283,4482,2220
"No asiste (022)",6110,911,194,507,4498
,,,,,
"RURAL (024)",5776,799,1506,1364,2107
"Asiste actualmente (025)",3440,424,1425,1118,473
"No asiste (026)",2336,375,81,246,1634
"Hombres (028)",2969,406,762,699,1102
"Asiste actualmente (029)",1725,203,724,569,229
"No asiste (030)",1244,203,38,130,873
"Mujeres (032)",2807,393,744,665,1005
"Asiste actualmente (033)",1715,221,701,549,244
"No asiste (034)",1092,172,43,116,761
