"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAJAMARCA (000)",276800,31529,41806,18039,187159
"Hombres (001)",135690,14799,21654,10172,90134
"Mujeres (002)",141110,16730,20152,7867,97025
"PEA (003)",112644,5347,21274,9136,78079
"Hombres (004)",78969,3579,13935,6509,55812
"Mujeres (005)",33675,1768,7339,2627,22267
"Ocupada (006)",106196,4990,20780,8920,72689
"Hombres (007)",74123,3308,13592,6356,51728
"Mujeres (008)",32073,1682,7188,2564,20961
"Desocupada (009)",6448,357,494,216,5390
"Hombres (010)",4846,271,343,153,4084
"Mujeres (011)",1602,86,151,63,1306
"No PEA (012)",164156,26182,20532,8903,109080
"Hombres (013)",56721,11220,7719,3663,34322
"Mujeres (014)",107435,14962,12813,5240,74758
,,,,,
"URBANA (018)",154251,9390,34504,15622,96184
"Hombres (019)",74587,4366,16920,8664,45463
"Mujeres (020)",79664,5024,17584,6958,50721
"PEA (021)",69628,2574,17149,7947,42920
"Hombres (022)",43406,1516,10392,5476,26673
"Mujeres (023)",26222,1058,6757,2471,16247
"Ocupada (024)",66155,2441,16782,7757,40129
"Hombres (025)",41102,1428,10159,5346,24816
"Mujeres (026)",25053,1013,6623,2411,15313
"Desocupada (027)",3473,133,367,190,2791
"Hombres (028)",2304,88,233,130,1857
"Mujeres (029)",1169,45,134,60,934
"No PEA (030)",84623,6816,17355,7675,53264
"Hombres (031)",31181,2850,6528,3188,18790
"Mujeres (032)",53442,3966,10827,4487,34474
,,,,,
"RURAL (036)",122549,22139,7302,2417,90975
"Hombres (037)",61103,10433,4734,1508,44671
"Mujeres (038)",61446,11706,2568,909,46304
"PEA (039)",43016,2773,4125,1189,35159
"Hombres (040)",35563,2063,3543,1033,29139
"Mujeres (041)",7453,710,582,156,6020
"Ocupada (042)",40041,2549,3998,1163,32560
"Hombres (043)",33021,1880,3433,1010,26912
"Mujeres (044)",7020,669,565,153,5648
"Desocupada (045)",2975,224,127,26,2599
"Hombres (046)",2542,183,110,23,2227
"Mujeres (047)",433,41,17,3,372
"No PEA (048)",79533,19366,3177,1228,55816
"Hombres (049)",25540,8370,1191,475,15532
"Mujeres (050)",53993,10996,1986,753,40284
