"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAURA (000)",77761,2251,54,14458,32131,3550,4539,6935,13843
"Empleado (001)",21631,116,4,870,5513,1163,1950,2998,9017
"Obrero (002)",19577,916,29,5059,10129,787,788,959,910
"Trabajador independiente (003)",29234,928,12,6666,13133,1339,1490,2364,3302
"Empleador o patrono (004)",1631,35,,321,653,63,100,156,303
"Trabajador familiar no remunerado (005)",3563,173,4,1070,1573,109,118,302,214
"Trabajador del hogar (006)",2125,83,5,472,1130,89,93,156,97
"Hombres (008)",51264,1022,30,9717,23413,2387,2545,4373,7777
"Empleado (009)",11810,41,2,531,3555,661,901,1668,4451
"Obrero (010)",16305,507,19,4007,8826,691,662,818,775
"Trabajador independiente (011)",20110,413,7,4418,9609,928,871,1630,2234
"Empleador o patrono (012)",1262,16,,265,526,48,64,114,229
"Trabajador familiar no remunerado (013)",1691,41,2,478,849,57,45,138,81
"Trabajador del hogar (014)",86,4,,18,48,2,2,5,7
"Mujeres (016)",26497,1229,24,4741,8718,1163,1994,2562,6066
"Empleado (017)",9821,75,2,339,1958,502,1049,1330,4566
"Obrero (018)",3272,409,10,1052,1303,96,126,141,135
"Trabajador independiente (019)",9124,515,5,2248,3524,411,619,734,1068
"Empleador o patrono (020)",369,19,,56,127,15,36,42,74
"Trabajador familiar no remunerado (021)",1872,132,2,592,724,52,73,164,133
"Trabajador del hogar (022)",2039,79,5,454,1082,87,91,151,90
,,,,,,,,,
"URBANA (024)",67509,1521,50,11033,27552,3223,4261,6540,13329
"Empleado (025)",21046,107,4,832,5321,1128,1880,2947,8827
"Obrero (026)",14595,534,25,3448,7675,632,698,800,783
"Trabajador independiente (027)",25915,680,12,5381,11824,1237,1400,2239,3142
"Empleador o patrono (028)",1304,27,,192,513,49,90,145,288
"Trabajador familiar no remunerado (029)",2642,101,4,740,1149,93,103,256,196
"Trabajador del hogar (030)",2007,72,5,440,1070,84,90,153,93
"Hombres (032)",43245,614,26,7040,19621,2131,2350,4065,7398
"Empleado (033)",11443,38,2,502,3411,637,864,1640,4349
"Obrero (034)",12241,289,15,2725,6723,555,591,683,660
"Trabajador independiente (035)",17402,257,7,3357,8499,853,801,1526,2102
"Empleador o patrono (036)",978,10,,150,403,37,56,106,216
"Trabajador familiar no remunerado (037)",1101,17,2,290,539,47,36,106,64
"Trabajador del hogar (038)",80,3,,16,46,2,2,4,7
"Mujeres (040)",24264,907,24,3993,7931,1092,1911,2475,5931
"Empleado (041)",9603,69,2,330,1910,491,1016,1307,4478
"Obrero (042)",2354,245,10,723,952,77,107,117,123
"Trabajador independiente (043)",8513,423,5,2024,3325,384,599,713,1040
"Empleador o patrono (044)",326,17,,42,110,12,34,39,72
"Trabajador familiar no remunerado (045)",1541,84,2,450,610,46,67,150,132
"Trabajador del hogar (046)",1927,69,5,424,1024,82,88,149,86
,,,,,,,,,
"RURAL (048)",10252,730,4,3425,4579,327,278,395,514
"Empleado (049)",585,9,,38,192,35,70,51,190
"Obrero (050)",4982,382,4,1611,2454,155,90,159,127
"Trabajador independiente (051)",3319,248,,1285,1309,102,90,125,160
"Empleador o patrono (052)",327,8,,129,140,14,10,11,15
"Trabajador familiar no remunerado (053)",921,72,,330,424,16,15,46,18
"Trabajador del hogar (054)",118,11,,32,60,5,3,3,4
"Hombres (056)",8019,408,4,2677,3792,256,195,308,379
"Empleado (057)",367,3,,29,144,24,37,28,102
"Obrero (058)",4064,218,4,1282,2103,136,71,135,115
"Trabajador independiente (059)",2708,156,,1061,1110,75,70,104,132
"Empleador o patrono (060)",284,6,,115,123,11,8,8,13
"Trabajador familiar no remunerado (061)",590,24,,188,310,10,9,32,17
"Trabajador del hogar (062)",6,1,,2,2,,,1,
"Mujeres (064)",2233,322,,748,787,71,83,87,135
"Empleado (065)",218,6,,9,48,11,33,23,88
"Obrero (066)",918,164,,329,351,19,19,24,12
"Trabajador independiente (067)",611,92,,224,199,27,20,21,28
"Empleador o patrono (068)",43,2,,14,17,3,2,3,2
"Trabajador familiar no remunerado (069)",331,48,,142,114,6,6,14,1
"Trabajador del hogar (070)",112,10,,30,58,5,3,2,4
