"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAJAMARCA (000)",70382,44175,26207
"Red pública dentro de la vivienda (001)",41755,34022,7733
"Red pública fuera de la vivienda (002)",11926,5846,6080
"Pilón de uso público (003)",1528,479,1049
"Camión - cisterna u otro similar (004)",61,24,37
"Pozo (005)",4908,1134,3774
"Río, acequia, manatial o similar (006)",6926,1501,5425
"Vecino (007)",2654,848,1806
"Otro (008)",624,321,303
,,,
"URBANA (010)",37801,34438,3363
"Red pública dentro de la vivienda (011)",30818,29215,1603
"Red pública fuera de la vivienda (012)",3727,3372,355
"Pilón de uso público (013)",415,272,143
"Camión - cisterna u otro similar (014)",37,20,17
"Pozo (015)",706,442,264
"Río, acequia, manatial o similar (016)",668,440,228
"Vecino (017)",1017,441,576
"Otro (018)",413,236,177
,,,
"RURAL (020)",32581,9737,22844
"Red pública dentro de la vivienda (021)",10937,4807,6130
"Red pública fuera de la vivienda (022)",8199,2474,5725
"Pilón de uso público (023)",1113,207,906
"Camión - cisterna u otro similar (024)",24,4,20
"Pozo (025)",4202,692,3510
"Río, acequia, manatial o similar (026)",6258,1061,5197
"Vecino (027)",1637,407,1230
"Otro (028)",211,85,126
