"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARAÑON (000)",24541,1534,7643,4658,3256,2833,1996,1338,1283
"Quechua (001)",6073,348,1774,1006,742,764,556,458,425
"Aymara (002)",8,1,3,,,2,,1,1
"Ashaninca (003)",4,,2,1,1,,,,
"Otra lengua nativa (004)",7,,2,,,1,2,,2
"Castellano (005)",18367,1182,5848,3640,2499,2056,1433,869,840
"Es sordomudo/a (007)",82,3,14,11,14,10,5,10,15
"Hombres (009)",12610,760,3997,2418,1618,1469,1047,677,624
"Quechua (010)",2911,180,881,489,316,384,263,210,188
"Aymara (011)",5,1,1,,,1,,1,1
"Ashaninca (012)",2,,1,1,,,,,
"Otra lengua nativa (013)",5,,2,,,1,2,,
"Castellano (014)",9642,578,3105,1923,1296,1076,778,459,427
"Es sordomudo/a (016)",45,1,7,5,6,7,4,7,8
"Mujeres (018)",11931,774,3646,2240,1638,1364,949,661,659
"Quechua (019)",3162,168,893,517,426,380,293,248,237
"Aymara (020)",3,,2,,,1,,,
"Ashaninca (021)",2,,1,,1,,,,
"Otra lengua nativa (022)",2,,,,,,,,2
"Castellano (023)",8725,604,2743,1717,1203,980,655,410,413
"Es sordomudo/a (025)",37,2,7,6,8,3,1,3,7
,,,,,,,,,
"URBANA (027)",3779,172,1094,741,561,508,338,159,206
"Quechua (028)",484,6,94,75,77,83,60,41,48
"Aymara (029)",1,,,,,1,,,
"Otra lengua nativa (031)",1,,,,,,,,1
"Castellano (032)",3285,166,999,665,482,423,278,118,154
"Es sordomudo/a (034)",8,,1,1,2,1,,,3
"Hombres (036)",1971,93,582,391,266,273,179,90,97
"Quechua (037)",234,3,52,33,30,43,28,22,23
"Aymara (038)",1,,,,,1,,,
"Castellano (041)",1730,90,529,357,235,228,151,68,72
"Es sordomudo/a (043)",6,,1,1,1,1,,,2
"Mujeres (045)",1808,79,512,350,295,235,159,69,109
"Quechua (046)",250,3,42,42,47,40,32,19,25
"Otra lengua nativa (049)",1,,,,,,,,1
"Castellano (050)",1555,76,470,308,247,195,127,50,82
"Es sordomudo/a (052)",2,,,,1,,,,1
,,,,,,,,,
"RURAL (054)",20762,1362,6549,3917,2695,2325,1658,1179,1077
"Quechua (055)",5589,342,1680,931,665,681,496,417,377
"Aymara (056)",7,1,3,,,1,,1,1
"Ashaninca (057)",4,,2,1,1,,,,
"Otra lengua nativa (058)",6,,2,,,1,2,,1
"Castellano (059)",15082,1016,4849,2975,2017,1633,1155,751,686
"Es sordomudo/a (061)",74,3,13,10,12,9,5,10,12
"Hombres (063)",10639,667,3415,2027,1352,1196,868,587,527
"Quechua (064)",2677,177,829,456,286,341,235,188,165
"Aymara (065)",4,1,1,,,,,1,1
"Ashaninca (066)",2,,1,1,,,,,
"Otra lengua nativa (067)",5,,2,,,1,2,,
"Castellano (068)",7912,488,2576,1566,1061,848,627,391,355
"Es sordomudo/a (070)",39,1,6,4,5,6,4,7,6
"Mujeres (072)",10123,695,3134,1890,1343,1129,790,592,550
"Quechua (073)",2912,165,851,475,379,340,261,229,212
"Aymara (074)",3,,2,,,1,,,
"Ashaninca (075)",2,,1,,1,,,,
"Otra lengua nativa (076)",1,,,,,,,,1
"Castellano (077)",7170,528,2273,1409,956,785,528,360,331
"Es sordomudo/a (079)",35,2,7,6,7,3,1,3,6
