"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PUERTO INCA (000)",591,58,533
"Sin nivel (001)",32,2,30
"Educación inicial (002)",1,,1
"Primaria (003)",297,24,273
"Secundaria (004)",214,25,189
"Superior no univ. incompleta (005)",16,,16
"Superior no univ. completa (006)",4,,4
"Superior univ. incompleta (007)",8,2,6
"Superior univ. completa (008)",19,5,14
"De 14 a 29 años (010)",302,46,256
"Sin nivel (011)",9,,9
"Educación inicial (012)",1,,1
"Primaria (013)",134,21,113
"Secundaria (014)",135,22,113
"Superior no univ. incompleta (015)",9,,9
"Superior no univ. completa (016)",3,,3
"Superior univ. incompleta (017)",5,1,4
"Superior univ. completa (018)",6,2,4
"De 30 a 44 años (020)",150,10,140
"Sin nivel (021)",9,2,7
"Primaria (023)",77,2,75
"Secundaria (024)",49,3,46
"Superior no univ. incompleta (025)",5,,5
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",9,2,7
"De 45 a 64 años (030)",111,2,109
"Sin nivel (031)",10,,10
"Primaria (033)",67,1,66
"Secundaria (034)",25,,25
"Superior no univ. incompleta (035)",2,,2
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",4,1,3
"De 65 y más años (040)",28,,28
"Sin nivel (041)",4,,4
"Primaria (043)",19,,19
"Secundaria (044)",5,,5
,,,
"AREA URBANA (050)",199,21,178
"Sin nivel (051)",2,,2
"Primaria (053)",80,9,71
"Secundaria (054)",83,8,75
"Superior no univ. incompleta (055)",13,,13
"Superior no univ. completa (056)",3,,3
"Superior univ. incompleta (057)",4,1,3
"Superior univ. completa (058)",14,3,11
"De 14 a 29 años (060)",83,14,69
"Primaria (063)",27,7,20
"Secundaria (064)",40,6,34
"Superior no univ. incompleta (065)",7,,7
"Superior no univ. completa (066)",2,,2
"Superior univ. incompleta (067)",3,1,2
"Superior univ. completa (068)",4,,4
"De 30 a 44 años (070)",61,5,56
"Primaria (073)",26,1,25
"Secundaria (074)",23,2,21
"Superior no univ. incompleta (075)",4,,4
"Superior univ. completa (078)",8,2,6
"De 45 a 64 años (080)",47,2,45
"Sin nivel (081)",2,,2
"Primaria (083)",23,1,22
"Secundaria (084)",16,,16
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,,1
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",2,1,1
"De 65 y más años (090)",8,,8
"Primaria (093)",4,,4
"Secundaria (094)",4,,4
,,,
"AREA RURAL (100)",392,37,355
"Sin nivel (101)",30,2,28
"Educación inicial (102)",1,,1
"Primaria (103)",217,15,202
"Secundaria (104)",131,17,114
"Superior no univ. incompleta (105)",3,,3
"Superior no univ. completa (106)",1,,1
"Superior univ. incompleta (107)",4,1,3
"Superior univ. completa (108)",5,2,3
"De 14 a 29 años (110)",219,32,187
"Sin nivel (111)",9,,9
"Educación inicial (112)",1,,1
"Primaria (113)",107,14,93
"Secundaria (114)",95,16,79
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",1,,1
"Superior univ. incompleta (117)",2,,2
"Superior univ. completa (118)",2,2,
"De 30 a 44 años (120)",89,5,84
"Sin nivel (121)",9,2,7
"Primaria (123)",51,1,50
"Secundaria (124)",26,1,25
"Superior no univ. incompleta (125)",1,,1
"Superior univ. incompleta (127)",1,1,
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",64,,64
"Sin nivel (131)",8,,8
"Primaria (133)",44,,44
"Secundaria (134)",9,,9
"Superior univ. incompleta (137)",1,,1
"Superior univ. completa (138)",2,,2
"De 65 y más años (140)",20,,20
"Sin nivel (141)",4,,4
"Primaria (143)",15,,15
"Secundaria (144)",1,,1
