"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia TARATA (000)",6352,1694,560,152,3956
"Conviviente (001)",1841,472,113,25,1235
"Separado(a) (002)",214,50,18,5,141
"Casado(a) (003)",1854,443,250,64,1098
"Viudo(a) (004)",408,105,31,10,263
"Divorciado(a) (005)",42,10,9,3,20
"Soltero(a) (006)",1993,614,139,45,1199
"Hombres (008)",3278,773,299,119,2092
"Conviviente (009)",937,188,63,20,669
"Separado(a) (010)",82,14,8,5,55
"Casado(a) (011)",947,196,144,51,556
"Viudo(a) (012)",132,39,7,5,81
"Divorciado(a) (013)",24,4,6,3,11
"Soltero(a) (014)",1156,332,71,35,720
"Mujeres (016)",3074,921,261,33,1864
"Conviviente (017)",904,284,50,5,566
"Separado(a) (018)",132,36,10,,86
"Casado(a) (019)",907,247,106,13,542
"Viudo(a) (020)",276,66,24,5,182
"Divorciado(a) (021)",18,6,3,,9
"Soltero(a) (022)",837,282,68,10,479
,,,,,
"URBANA (024)",4949,1035,470,126,3327
"Conviviente (025)",1433,282,86,21,1048
"Separado(a) (026)",158,31,15,3,109
"Casado(a) (027)",1439,233,218,59,930
"Viudo(a) (028)",307,62,27,9,210
"Divorciado(a) (029)",37,8,9,2,18
"Soltero(a) (030)",1575,419,115,32,1012
"Hombres (032)",2535,455,252,99,1733
"Conviviente (033)",720,99,48,16,560
"Separado(a) (034)",56,7,6,3,40
"Casado(a) (035)",735,100,125,47,463
"Viudo(a) (036)",100,27,6,5,62
"Divorciado(a) (037)",21,4,6,2,9
"Soltero(a) (038)",903,218,61,26,599
"Mujeres (040)",2414,580,218,27,1594
"Conviviente (041)",713,183,38,5,488
"Separado(a) (042)",102,24,9,,69
"Casado(a) (043)",704,133,93,12,467
"Viudo(a) (044)",207,35,21,4,148
"Divorciado(a) (045)",16,4,3,,9
"Soltero(a) (046)",672,201,54,6,413
,,,,,
"RURAL (048)",1403,659,90,26,629
"Conviviente (049)",408,190,27,4,187
"Separado(a) (050)",56,19,3,2,32
"Casado(a) (051)",415,210,32,5,168
"Viudo(a) (052)",101,43,4,1,53
"Divorciado(a) (053)",5,2,,1,2
"Soltero(a) (054)",418,195,24,13,187
"Hombres (056)",743,318,47,20,359
"Conviviente (057)",217,89,15,4,109
"Separado(a) (058)",26,7,2,2,15
"Casado(a) (059)",212,96,19,4,93
"Viudo(a) (060)",32,12,1,,19
"Divorciado(a) (061)",3,,,1,2
"Soltero(a) (062)",253,114,10,9,121
"Mujeres (064)",660,341,43,6,270
"Conviviente (065)",191,101,12,,78
"Separado(a) (066)",30,12,1,,17
"Casado(a) (067)",203,114,13,1,75
"Viudo(a) (068)",69,31,3,1,34
"Divorciado(a) (069)",2,2,,,
"Soltero(a) (070)",165,81,14,4,66
