"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PARURO (000)",29001,1617,8518,4069,3449,3751,2765,2053,2779
"Quechua (001)",26707,1387,7647,3631,3150,3535,2648,1982,2727
"Aymara (002)",53,1,10,11,3,15,6,5,2
"Ashaninca (003)",5,,1,1,2,1,,,
"Otra lengua nativa (004)",1,,,,,,1,,
"Castellano (005)",2192,227,852,417,290,194,107,63,42
"Idioma extranjero (006)",1,,,,,,1,,
"Es sordomudo/a (007)",42,2,8,9,4,6,2,3,8
"Hombres (009)",14783,836,4487,2146,1736,1860,1425,1009,1284
"Quechua (010)",13505,712,3995,1923,1569,1735,1350,964,1257
"Aymara (011)",24,1,2,4,1,10,2,3,1
"Otra lengua nativa (013)",1,,,,,,1,,
"Castellano (014)",1222,121,483,211,164,110,71,40,22
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",30,2,7,8,2,5,,2,4
"Mujeres (018)",14218,781,4031,1923,1713,1891,1340,1044,1495
"Quechua (019)",13202,675,3652,1708,1581,1800,1298,1018,1470
"Aymara (020)",29,,8,7,2,5,4,2,1
"Ashaninca (021)",5,,1,1,2,1,,,
"Castellano (023)",970,106,369,206,126,84,36,23,20
"Es sordomudo/a (025)",12,,1,1,2,1,2,1,4
,,,,,,,,,
"URBANA (027)",10020,497,2674,1473,1181,1374,970,759,1092
"Quechua (028)",8359,327,2010,1165,976,1222,889,712,1058
"Aymara (029)",20,,4,5,1,7,2,1,
"Ashaninca (030)",4,,1,1,2,,,,
"Castellano (032)",1627,170,655,299,202,143,79,46,33
"Es sordomudo/a (034)",10,,4,3,,2,,,1
"Hombres (036)",5066,249,1419,783,573,674,503,367,498
"Quechua (037)",4185,158,1053,634,470,598,452,338,482
"Aymara (038)",11,,1,4,,5,,1,
"Castellano (041)",862,91,361,143,103,69,51,28,16
"Es sordomudo/a (043)",8,,4,2,,2,,,
"Mujeres (045)",4954,248,1255,690,608,700,467,392,594
"Quechua (046)",4174,169,957,531,506,624,437,374,576
"Aymara (047)",9,,3,1,1,2,2,,
"Ashaninca (048)",4,,1,1,2,,,,
"Castellano (050)",765,79,294,156,99,74,28,18,17
"Es sordomudo/a (052)",2,,,1,,,,,1
,,,,,,,,,
"RURAL (054)",18981,1120,5844,2596,2268,2377,1795,1294,1687
"Quechua (055)",18348,1060,5637,2466,2174,2313,1759,1270,1669
"Aymara (056)",33,1,6,6,2,8,4,4,2
"Ashaninca (057)",1,,,,,1,,,
"Otra lengua nativa (058)",1,,,,,,1,,
"Castellano (059)",565,57,197,118,88,51,28,17,9
"Idioma extranjero (060)",1,,,,,,1,,
"Es sordomudo/a (061)",32,2,4,6,4,4,2,3,7
"Hombres (063)",9717,587,3068,1363,1163,1186,922,642,786
"Quechua (064)",9320,554,2942,1289,1099,1137,898,626,775
"Aymara (065)",13,1,1,,1,5,2,2,1
"Otra lengua nativa (067)",1,,,,,,1,,
"Castellano (068)",360,30,122,68,61,41,20,12,6
"Idioma extranjero (069)",1,,,,,,1,,
"Es sordomudo/a (070)",22,2,3,6,2,3,,2,4
"Mujeres (072)",9264,533,2776,1233,1105,1191,873,652,901
"Quechua (073)",9028,506,2695,1177,1075,1176,861,644,894
"Aymara (074)",20,,5,6,1,3,2,2,1
"Ashaninca (075)",1,,,,,1,,,
"Castellano (077)",205,27,75,50,27,10,8,5,3
"Es sordomudo/a (079)",10,,1,,2,1,2,1,3
