"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia LUYA",,,,,,,,,
"Viviendas particulares (001)",2697,216,249,139,568,37,13,29,1446
"Ocupantes presentes (002)",10891,903,982,499,2156,167,62,136,5986
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2669,210,247,139,559,34,13,29,1438
"Ocupantes presentes (005)",10801,884,975,499,2127,147,62,136,5971
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",4,,,,,,,,4
"Ocupantes presentes (008)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",5,5,,,,,,,
"Ocupantes presentes (011)",16,16,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",17,1,2,,7,3,,,4
"Ocupantes presentes (014)",65,3,7,,27,20,,,8
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,,,2,,,,
"Ocupantes presentes (023)",2,,,,2,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1824,169,209,103,457,27,7,15,837
"Ocupantes presentes (029)",6951,676,801,337,1688,114,34,47,3254
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1798,163,207,103,450,24,7,15,829
"Ocupantes presentes (032)",6863,657,794,337,1661,94,34,47,3239
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",4,,,,,,,,4
"Ocupantes presentes (035)",7,,,,,,,,7
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",5,5,,,,,,,
"Ocupantes presentes (038)",16,16,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",17,1,2,,7,3,,,4
"Ocupantes presentes (041)",65,3,7,,27,20,,,8
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",873,47,40,36,111,10,6,14,609
"Ocupantes presentes (056)",3940,227,181,162,468,53,28,89,2732
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",871,47,40,36,109,10,6,14,609
"Ocupantes presentes (059)",3938,227,181,162,466,53,28,89,2732
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,,,2,,,,
"Ocupantes presentes (077)",2,,,,2,,,,
"Otro tipo",,,,,,,,,
