"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CORONEL PORTILLO (000)",4657,1151,3506
"Sin nivel (001)",73,13,60
"Educación inicial (002)",9,4,5
"Primaria (003)",968,192,776
"Secundaria (004)",2460,673,1787
"Superior no univ. incompleta (005)",343,88,255
"Superior no univ. completa (006)",386,85,301
"Superior univ. incompleta (007)",185,41,144
"Superior univ. completa (008)",233,55,178
"De 14 a 29 años (010)",2590,897,1693
"Sin nivel (011)",17,7,10
"Educación inicial (012)",6,3,3
"Primaria (013)",329,118,211
"Secundaria (014)",1551,545,1006
"Superior no univ. incompleta (015)",224,74,150
"Superior no univ. completa (016)",216,70,146
"Superior univ. incompleta (017)",131,37,94
"Superior univ. completa (018)",116,43,73
"De 30 a 44 años (020)",1263,210,1053
"Sin nivel (021)",20,4,16
"Educación inicial (022)",3,1,2
"Primaria (023)",276,52,224
"Secundaria (024)",609,109,500
"Superior no univ. incompleta (025)",90,13,77
"Superior no univ. completa (026)",141,15,126
"Superior univ. incompleta (027)",39,4,35
"Superior univ. completa (028)",85,12,73
"De 45 a 64 años (030)",648,44,604
"Sin nivel (031)",21,2,19
"Primaria (033)",258,22,236
"Secundaria (034)",273,19,254
"Superior no univ. incompleta (035)",26,1,25
"Superior no univ. completa (036)",25,,25
"Superior univ. incompleta (037)",14,,14
"Superior univ. completa (038)",31,,31
"De 65 y más años (040)",156,,156
"Sin nivel (041)",15,,15
"Primaria (043)",105,,105
"Secundaria (044)",27,,27
"Superior no univ. incompleta (045)",3,,3
"Superior no univ. completa (046)",4,,4
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",4283,1031,3252
"Sin nivel (051)",55,11,44
"Educación inicial (052)",8,3,5
"Primaria (053)",797,149,648
"Secundaria (054)",2297,607,1690
"Superior no univ. incompleta (055)",337,84,253
"Superior no univ. completa (056)",379,84,295
"Superior univ. incompleta (057)",181,40,141
"Superior univ. completa (058)",229,53,176
"De 14 a 29 años (060)",2356,802,1554
"Sin nivel (061)",12,5,7
"Educación inicial (062)",6,3,3
"Primaria (063)",238,87,151
"Secundaria (064)",1428,490,938
"Superior no univ. incompleta (065)",218,70,148
"Superior no univ. completa (066)",212,69,143
"Superior univ. incompleta (067)",128,36,92
"Superior univ. completa (068)",114,42,72
"De 30 a 44 años (070)",1190,190,1000
"Sin nivel (071)",18,4,14
"Educación inicial (072)",2,,2
"Primaria (073)",236,43,193
"Secundaria (074)",584,100,484
"Superior no univ. incompleta (075)",90,13,77
"Superior no univ. completa (076)",139,15,124
"Superior univ. incompleta (077)",38,4,34
"Superior univ. completa (078)",83,11,72
"De 45 a 64 años (080)",599,39,560
"Sin nivel (081)",17,2,15
"Primaria (083)",228,19,209
"Secundaria (084)",259,17,242
"Superior no univ. incompleta (085)",26,1,25
"Superior no univ. completa (086)",24,,24
"Superior univ. incompleta (087)",14,,14
"Superior univ. completa (088)",31,,31
"De 65 y más años (090)",138,,138
"Sin nivel (091)",8,,8
"Primaria (093)",95,,95
"Secundaria (094)",26,,26
"Superior no univ. incompleta (095)",3,,3
"Superior no univ. completa (096)",4,,4
"Superior univ. incompleta (097)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",374,120,254
"Sin nivel (101)",18,2,16
"Educación inicial (102)",1,1,
"Primaria (103)",171,43,128
"Secundaria (104)",163,66,97
"Superior no univ. incompleta (105)",6,4,2
"Superior no univ. completa (106)",7,1,6
"Superior univ. incompleta (107)",4,1,3
"Superior univ. completa (108)",4,2,2
"De 14 a 29 años (110)",234,95,139
"Sin nivel (111)",5,2,3
"Primaria (113)",91,31,60
"Secundaria (114)",123,55,68
"Superior no univ. incompleta (115)",6,4,2
"Superior no univ. completa (116)",4,1,3
"Superior univ. incompleta (117)",3,1,2
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",73,20,53
"Sin nivel (121)",2,,2
"Educación inicial (122)",1,1,
"Primaria (123)",40,9,31
"Secundaria (124)",25,9,16
"Superior no univ. completa (126)",2,,2
"Superior univ. incompleta (127)",1,,1
"Superior univ. completa (128)",2,1,1
"De 45 a 64 años (130)",49,5,44
"Sin nivel (131)",4,,4
"Primaria (133)",30,3,27
"Secundaria (134)",14,2,12
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",18,,18
"Sin nivel (141)",7,,7
"Primaria (143)",10,,10
"Secundaria (144)",1,,1
