"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4571,4142,8,982,952,734,786,370,198,112,429,13804
"De 12 a 14 años (001)",7,3,,1,2,,,,,,4,5
"De 15 a 19 años (002)",176,128,1,114,12,,1,,,,48,142
"De 20 a 24 años (003)",603,474,,339,107,22,5,1,,,129,645
"De 25 a 29 años (004)",659,578,2,216,223,99,38,,,,81,1118
"De 30 a 34 años (005)",612,561,,104,216,134,96,8,3,,51,1422
"De 35 a 39 años (006)",522,505,,52,148,147,126,28,3,1,17,1545
"De 40 a 44 años (007)",462,436,,36,94,116,134,39,12,5,26,1558
"De 45 a 49 años (008)",388,365,,29,48,83,116,67,18,4,23,1506
"De 50 y más años (009)",1142,1092,5,91,102,133,270,227,162,102,50,5863
"PEA (010)",1301,1118,1,260,304,206,215,81,38,13,183,3395
"De 12 a 14 años (011)",1,1,,,1,,,,,,,2
"De 15 a 19 años (012)",21,11,,9,2,,,,,,10,13
"De 20 a 24 años (013)",137,94,,74,16,4,,,,,43,118
"De 25 a 29 años (014)",175,131,,54,50,21,6,,,,44,241
"De 30 a 34 años (015)",212,177,,43,78,32,23,,1,,35,403
"De 35 a 39 años (016)",208,200,,23,66,53,49,9,,,8,579
"De 40 a 44 años (017)",178,165,,21,42,39,48,11,3,1,13,533
"De 45 a 49 años (018)",145,132,,11,29,28,39,20,5,,13,494
"De 50 y más años (019)",224,207,1,25,20,29,50,41,29,12,17,1012
"Ocupada (020)",1255,1084,1,249,293,202,211,79,36,13,171,3305
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
"De 15 a 19 años (022)",20,11,,9,2,,,,,,9,13
"De 20 a 24 años (023)",128,91,,71,16,4,,,,,37,115
