"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia AMBO (000)",27110,3816,8802,7433,7059
"Asiste actualmente (001)",17427,968,8186,6220,2053
"No asiste (002)",9683,2848,616,1213,5006
"Hombres (004)",13718,1955,4466,3748,3549
"Asiste actualmente (005)",8920,484,4167,3190,1079
"No asiste (006)",4798,1471,299,558,2470
"Mujeres (008)",13392,1861,4336,3685,3510
"Asiste actualmente (009)",8507,484,4019,3030,974
"No asiste (010)",4885,1377,317,655,2536
,,,,,
"URBANA (012)",8675,1099,2534,2518,2524
"Asiste actualmente (013)",6251,377,2432,2334,1108
"No asiste (014)",2424,722,102,184,1416
"Hombres (016)",4350,551,1305,1245,1249
"Asiste actualmente (017)",3162,188,1251,1159,564
"No asiste (018)",1188,363,54,86,685
"Mujeres (020)",4325,548,1229,1273,1275
"Asiste actualmente (021)",3089,189,1181,1175,544
"No asiste (022)",1236,359,48,98,731
,,,,,
"RURAL (024)",18435,2717,6268,4915,4535
"Asiste actualmente (025)",11176,591,5754,3886,945
"No asiste (026)",7259,2126,514,1029,3590
"Hombres (028)",9368,1404,3161,2503,2300
"Asiste actualmente (029)",5758,296,2916,2031,515
"No asiste (030)",3610,1108,245,472,1785
"Mujeres (032)",9067,1313,3107,2412,2235
"Asiste actualmente (033)",5418,295,2838,1855,430
"No asiste (034)",3649,1018,269,557,1805
