"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AYMARAES (000)",27801,1361,7050,4120,3783,3318,2539,2162,3468
"Quechua (001)",19754,622,3902,2578,2651,2588,2158,1976,3279
"Aymara (002)",42,1,6,3,10,5,8,4,5
"Ashaninca (003)",4,,1,1,,2,,,
"Otra lengua nativa (004)",3,,2,,,,,,1
"Castellano (005)",7953,737,3128,1528,1112,718,369,179,182
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",44,1,11,10,9,5,4,3,1
"Hombres (009)",14206,686,3623,2197,2038,1771,1302,1010,1579
"Quechua (010)",9732,314,1997,1349,1332,1323,1050,903,1464
"Aymara (011)",20,,4,1,5,2,4,2,2
"Ashaninca (012)",1,,,1,,,,,
"Otra lengua nativa (013)",2,,1,,,,,,1
"Castellano (014)",4435,372,1616,845,695,445,247,104,111
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",15,,5,1,5,1,1,1,1
"Mujeres (018)",13595,675,3427,1923,1745,1547,1237,1152,1889
"Quechua (019)",10022,308,1905,1229,1319,1265,1108,1073,1815
"Aymara (020)",22,1,2,2,5,3,4,2,3
"Ashaninca (021)",3,,1,,,2,,,
"Otra lengua nativa (022)",1,,1,,,,,,
"Castellano (023)",3518,365,1512,683,417,273,122,75,71
"Es sordomudo/a (025)",29,1,6,9,4,4,3,2,
,,,,,,,,,
"URBANA (027)",12009,581,3086,1844,1639,1488,1081,894,1396
"Quechua (028)",7039,163,1069,874,1031,1027,841,774,1260
"Aymara (029)",17,,1,,4,3,4,3,2
"Ashaninca (030)",1,,,,,1,,,
"Otra lengua nativa (031)",2,,2,,,,,,
"Castellano (032)",4937,418,2011,968,598,456,235,117,134
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",12,,3,2,5,1,1,,
"Hombres (036)",5948,293,1593,943,799,747,549,410,614
"Quechua (037)",3353,90,548,440,499,500,402,344,530
"Aymara (038)",7,,1,,1,1,1,1,2
"Otra lengua nativa (040)",1,,1,,,,,,
"Castellano (041)",2581,203,1041,503,295,246,146,65,82
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",5,,2,,3,,,,
"Mujeres (045)",6061,288,1493,901,840,741,532,484,782
"Quechua (046)",3686,73,521,434,532,527,439,430,730
"Aymara (047)",10,,,,3,2,3,2,
"Ashaninca (048)",1,,,,,1,,,
"Otra lengua nativa (049)",1,,1,,,,,,
"Castellano (050)",2356,215,970,465,303,210,89,52,52
"Es sordomudo/a (052)",7,,1,2,2,1,1,,
,,,,,,,,,
"RURAL (054)",15792,780,3964,2276,2144,1830,1458,1268,2072
"Quechua (055)",12715,459,2833,1704,1620,1561,1317,1202,2019
"Aymara (056)",25,1,5,3,6,2,4,1,3
"Ashaninca (057)",3,,1,1,,1,,,
"Otra lengua nativa (058)",1,,,,,,,,1
"Castellano (059)",3016,319,1117,560,514,262,134,62,48
"Es sordomudo/a (061)",32,1,8,8,4,4,3,3,1
"Hombres (063)",8258,393,2030,1254,1239,1024,753,600,965
"Quechua (064)",6379,224,1449,909,833,823,648,559,934
"Aymara (065)",13,,3,1,4,1,3,1,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",1,,,,,,,,1
"Castellano (068)",1854,169,575,342,400,199,101,39,29
"Es sordomudo/a (070)",10,,3,1,2,1,1,1,1
"Mujeres (072)",7534,387,1934,1022,905,806,705,668,1107
"Quechua (073)",6336,235,1384,795,787,738,669,643,1085
"Aymara (074)",12,1,2,2,2,1,1,,3
"Ashaninca (075)",2,,1,,,1,,,
"Castellano (077)",1162,150,542,218,114,63,33,23,19
"Es sordomudo/a (079)",22,1,5,7,2,3,2,2,
