"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JULCAN (000)",22678,9513,489,221,12465
"Conviviente (001)",7635,2898,147,70,4522
"Separado(a) (002)",578,204,16,4,355
"Casado(a) (003)",5155,1951,193,70,2944
"Viudo(a) (004)",1069,235,10,6,818
"Divorciado(a) (005)",38,8,3,,27
"Soltero(a) (006)",8203,4217,120,71,3799
"Hombres (008)",11361,4232,236,100,6798
"Conviviente (009)",3763,1135,67,26,2537
"Separado(a) (010)",103,20,2,1,80
"Casado(a) (011)",2564,829,98,36,1604
"Viudo(a) (012)",334,75,3,2,254
"Divorciado(a) (013)",17,5,,,12
"Soltero(a) (014)",4580,2168,66,35,2311
"Mujeres (016)",11317,5281,253,121,5667
"Conviviente (017)",3872,1763,80,44,1985
"Separado(a) (018)",475,184,14,3,275
"Casado(a) (019)",2591,1122,95,34,1340
"Viudo(a) (020)",735,160,7,4,564
"Divorciado(a) (021)",21,3,3,,15
"Soltero(a) (022)",3623,2049,54,36,1488
,,,,,
"URBANA (024)",3601,1265,255,56,2026
"Conviviente (025)",1045,346,65,14,620
"Separado(a) (026)",138,50,6,,82
"Casado(a) (027)",968,256,103,29,581
"Viudo(a) (028)",147,35,3,1,108
"Divorciado(a) (029)",10,2,2,,6
"Soltero(a) (030)",1293,576,76,12,629
"Hombres (032)",1731,540,131,39,1022
"Conviviente (033)",508,138,29,10,331
"Separado(a) (034)",8,1,1,,6
"Casado(a) (035)",492,111,53,21,308
"Viudo(a) (036)",32,6,1,1,24
"Divorciado(a) (037)",3,2,,,1
"Soltero(a) (038)",688,282,47,7,352
"Mujeres (040)",1870,725,124,17,1004
"Conviviente (041)",537,208,36,4,289
"Separado(a) (042)",130,49,5,,76
"Casado(a) (043)",476,145,50,8,273
"Viudo(a) (044)",115,29,2,,84
"Divorciado(a) (045)",7,,2,,5
"Soltero(a) (046)",605,294,29,5,277
,,,,,
"RURAL (048)",19077,8248,234,165,10439
"Conviviente (049)",6590,2552,82,56,3902
"Separado(a) (050)",440,154,10,4,273
"Casado(a) (051)",4187,1695,90,41,2363
"Viudo(a) (052)",922,200,7,5,710
"Divorciado(a) (053)",28,6,1,,21
"Soltero(a) (054)",6910,3641,44,59,3170
"Hombres (056)",9630,3692,105,61,5776
"Conviviente (057)",3255,997,38,16,2206
"Separado(a) (058)",95,19,1,1,74
"Casado(a) (059)",2072,718,45,15,1296
"Viudo(a) (060)",302,69,2,1,230
"Divorciado(a) (061)",14,3,,,11
"Soltero(a) (062)",3892,1886,19,28,1959
"Mujeres (064)",9447,4556,129,104,4663
"Conviviente (065)",3335,1555,44,40,1696
"Separado(a) (066)",345,135,9,3,199
"Casado(a) (067)",2115,977,45,26,1067
"Viudo(a) (068)",620,131,5,4,480
"Divorciado(a) (069)",14,3,1,,10
"Soltero(a) (070)",3018,1755,25,31,1211
