"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TAHUAMANU (000)",5541,1262,2205,1600,100,327,47
"Sin nivel (001)",197,2,25,128,7,32,3
"Educación inicial (002)",3,,,,,3,
"Primaria (003)",947,47,301,443,20,126,10
"Secundaria (004)",2532,309,1373,648,46,130,26
"Superior no univ. incompleta (005)",513,157,184,141,6,21,4
"Superior no univ. completa (006)",696,336,210,129,8,11,2
"Superior univ. incompleta (007)",217,94,53,63,5,2,
"Superior univ. completa (008)",436,317,59,48,8,2,2
"Hombres (010)",4335,864,1999,1217,82,170,3
"Sin nivel (011)",110,,21,77,4,7,1
"Educación inicial (012)",2,,,,,2,
"Primaria (013)",722,23,257,362,18,62,
"Secundaria (014)",2084,201,1270,496,40,76,1
"Superior no univ. incompleta (015)",407,119,161,111,3,12,1
"Superior no univ. completa (016)",505,216,191,84,6,8,
"Superior univ. incompleta (017)",172,70,50,45,5,2,
"Superior univ. completa (018)",333,235,49,42,6,1,
"Mujeres (020)",1206,398,206,383,18,157,44
"Sin nivel (021)",87,2,4,51,3,25,2
"Educación inicial (022)",1,,,,,1,
"Primaria (023)",225,24,44,81,2,64,10
"Secundaria (024)",448,108,103,152,6,54,25
"Superior no univ. incompleta (025)",106,38,23,30,3,9,3
"Superior no univ. completa (026)",191,120,19,45,2,3,2
"Superior univ. incompleta (027)",45,24,3,18,,,
"Superior univ. completa (028)",103,82,10,6,2,1,2
,,,,,,,
"URBANA (030)",3848,1132,1613,855,54,154,40
"Sin nivel (031)",69,2,15,36,2,12,2
"Educación inicial (032)",2,,,,,2,
"Primaria (033)",464,39,184,180,7,46,8
"Secundaria (034)",1824,282,998,427,22,73,22
"Superior no univ. incompleta (035)",391,142,149,78,3,15,4
"Superior no univ. completa (036)",546,291,172,69,7,5,2
"Superior univ. incompleta (037)",177,89,43,40,5,,
"Superior univ. completa (038)",375,287,52,25,8,1,2
"Hombres (040)",2924,767,1453,580,39,82,3
"Sin nivel (041)",29,,12,13,,3,1
"Educación inicial (042)",1,,,,,1,
"Primaria (043)",322,17,156,120,6,23,
"Secundaria (044)",1456,178,917,301,17,42,1
"Superior no univ. incompleta (045)",298,107,130,52,,8,1
"Superior no univ. completa (046)",391,186,156,40,5,4,
"Superior univ. incompleta (047)",144,66,40,33,5,,
"Superior univ. completa (048)",283,213,42,21,6,1,
"Mujeres (050)",924,365,160,275,15,72,37
"Sin nivel (051)",40,2,3,23,2,9,1
"Educación inicial (052)",1,,,,,1,
"Primaria (053)",142,22,28,60,1,23,8
"Secundaria (054)",368,104,81,126,5,31,21
"Superior no univ. incompleta (055)",93,35,19,26,3,7,3
"Superior no univ. completa (056)",155,105,16,29,2,1,2
"Superior univ. incompleta (057)",33,23,3,7,,,
"Superior univ. completa (058)",92,74,10,4,2,,2
,,,,,,,
"RURAL (060)",1693,130,592,745,46,173,7
"Sin nivel (061)",128,,10,92,5,20,1
"Educación inicial (062)",1,,,,,1,
"Primaria (063)",483,8,117,263,13,80,2
"Secundaria (064)",708,27,375,221,24,57,4
"Superior no univ. incompleta (065)",122,15,35,63,3,6,
"Superior no univ. completa (066)",150,45,38,60,1,6,
"Superior univ. incompleta (067)",40,5,10,23,,2,
"Superior univ. completa (068)",61,30,7,23,,1,
"Hombres (070)",1411,97,546,637,43,88,
"Sin nivel (071)",81,,9,64,4,4,
"Educación inicial (072)",1,,,,,1,
"Primaria (073)",400,6,101,242,12,39,
"Secundaria (074)",628,23,353,195,23,34,
"Superior no univ. incompleta (075)",109,12,31,59,3,4,
"Superior no univ. completa (076)",114,30,35,44,1,4,
"Superior univ. incompleta (077)",28,4,10,12,,2,
"Superior univ. completa (078)",50,22,7,21,,,
"Mujeres (080)",282,33,46,108,3,85,7
"Sin nivel (081)",47,,1,28,1,16,1
"Primaria (083)",83,2,16,21,1,41,2
"Secundaria (084)",80,4,22,26,1,23,4
"Superior no univ. incompleta (085)",13,3,4,4,,2,
"Superior no univ. completa (086)",36,15,3,16,,2,
"Superior univ. incompleta (087)",12,1,,11,,,
"Superior univ. completa (088)",11,8,,2,,1,
