"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SAN MIGUEL",,,,,,,,
"Hogares (001)",14847,12203,1912,602,38,264,178,2379
"Ocupantes presentes (002)",55940,47273,7244,2269,122,1001,716,7648
"Casa independiente",,,,,,,,
"Hogares (004)",14468,11925,1892,595,37,259,176,2281
"Ocupantes presentes (005)",54536,46210,7170,2245,119,987,711,7321
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",10,7,4,3,,2,1,3
"Ocupantes presentes (011)",33,24,14,11,,8,2,9
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",7,3,3,,,,,3
"Ocupantes presentes (014)",21,11,13,,,,,5
"Choza o cabaña",,,,,,,,
"Hogares (016)",349,259,10,2,,,,89
"Ocupantes presentes (017)",1311,998,41,8,,,,306
"Vivienda improvisada",,,,,,,,
"Hogares (019)",5,2,1,1,,1,,2
"Ocupantes presentes (020)",18,12,2,2,,2,,4
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",7,6,1,1,1,1,1,1
"Ocupantes presentes (023)",20,17,3,3,3,3,3,3
"Otro tipo",,,,,,,,
"Hogares (025)",1,1,1,,,1,,
"Ocupantes presentes (026)",1,1,1,,,1,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",2628,1975,1251,451,34,221,166,448
"Ocupantes presentes (029)",8930,6912,4601,1685,102,827,661,1242
"Casa independiente",,,,,,,,
"Hogares (031)",2605,1962,1243,447,34,218,165,440
"Ocupantes presentes (032)",8857,6864,4572,1672,102,817,659,1224
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",10,7,4,3,,2,1,3
"Ocupantes presentes (038)",33,24,14,11,,8,2,9
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",7,3,3,,,,,3
"Ocupantes presentes (041)",21,11,13,,,,,5
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",5,2,1,1,,1,,2
"Ocupantes presentes (047)",18,12,2,2,,2,,4
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",1,1,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",12219,10228,661,151,4,43,12,1931
"Ocupantes presentes (056)",47010,40361,2643,584,20,174,55,6406
"Casa independiente",,,,,,,,
"Hogares (058)",11863,9963,649,148,3,41,11,1841
"Ocupantes presentes (059)",45679,39346,2598,573,17,170,52,6097
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",349,259,10,2,,,,89
"Ocupantes presentes (071)",1311,998,41,8,,,,306
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",6,5,1,1,1,1,1,1
"Ocupantes presentes (077)",19,16,3,3,3,3,3,3
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,1,,,1,,
"Ocupantes presentes (080)",1,1,1,,,1,,
