"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARAÑON (000)",6180,5509,171,82,418
"Empleado (001)",635,133,66,67,369
"Obrero (002)",516,414,46,14,42
"Trabajador independiente (003)",3732,3695,37,,
"Empleador o patrono (004)",117,112,4,1,
"Trabajador familiar no remunerado (005)",1093,1068,18,,7
"Trabajador del hogar (006)",87,87,,,
"De 06 a 14 años (008)",88,85,3,,
"Empleado (009)",1,1,,,
"Obrero (010)",8,8,,,
"Trabajador familiar no remunerado (013)",78,75,3,,
"Trabajador del hogar (014)",1,1,,,
"De 15 a 29 años (016)",1992,1828,50,18,96
"Empleado (017)",141,32,11,17,81
"Obrero (018)",248,220,17,1,10
"Trabajador independiente (019)",910,898,12,,
"Empleador o patrono (020)",23,21,2,,
"Trabajador familiar no remunerado (021)",610,597,8,,5
"Trabajador del hogar (022)",60,60,,,
"De 30 a 44 años (024)",2188,1834,74,48,232
"Empleado (025)",364,69,39,42,214
"Obrero (026)",154,115,16,6,17
"Trabajador independiente (027)",1393,1377,16,,
"Empleador o patrono (028)",52,52,,,
"Trabajador familiar no remunerado (029)",211,207,3,,1
"Trabajador del hogar (030)",14,14,,,
"De 45 a 64 años (032)",1531,1391,35,16,89
"Empleado (033)",126,30,15,8,73
"Obrero (034)",93,60,11,7,15
"Trabajador independiente (035)",1113,1108,5,,
"Empleador o patrono (036)",39,36,2,1,
"Trabajador familiar no remunerado (037)",153,150,2,,1
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",381,371,9,,1
"Empleado (041)",3,1,1,,1
"Obrero (042)",13,11,2,,
"Trabajador independiente (043)",316,312,4,,
"Empleador o patrono (044)",3,3,,,
"Trabajador familiar no remunerado (045)",41,39,2,,
"Trabajador del hogar (046)",5,5,,,
,,,,,
"URBANA (048)",1217,811,64,52,290
"Empleado (049)",440,97,39,45,259
"Obrero (050)",92,47,7,7,31
"Trabajador independiente (051)",489,475,14,,
"Empleador o patrono (052)",6,6,,,
"Trabajador familiar no remunerado (053)",154,150,4,,
"Trabajador del hogar (054)",36,36,,,
"De 06 a 14 años (056)",18,18,,,
"Empleado (057)",1,1,,,
"Obrero (058)",1,1,,,
"Trabajador familiar no remunerado (061)",15,15,,,
