"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia DOS DE MAYO (000)",14775,13599,10450,1501,1648,1176,21,221,770,164
"Casa independiente (001)",12170,11322,9027,1068,1227,848,20,221,563,44
"Vivienda en quinta (003)",25,25,25,,,,,,,
"Vivienda en casa de vecindad (004)",46,43,42,1,,3,1,,2,
"Choza o cabaña (005)",2502,2180,1333,427,420,322,,,205,117
"Vivienda improvisada (006)",14,11,5,5,1,3,,,,3
"Local no dest.para hab. humana (007)",16,16,16,,,,,,,
"Otro tipo (008)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",4584,4323,3791,328,204,261,5,74,163,19
"Casa independiente (010)",4491,4236,3711,322,203,255,4,74,161,16
"Vivienda en quinta (012)",25,25,25,,,,,,,
"Vivienda en casa de vecindad (013)",46,43,42,1,,3,1,,2,
"Vivienda improvisada (015)",14,11,5,5,1,3,,,,3
"Local no dest.para hab. humana (016)",7,7,7,,,,,,,
"Otro tipo (017)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",10191,9276,6659,1173,1444,915,16,147,607,145
"Casa independiente (019)",7679,7086,5316,746,1024,593,16,147,402,28
"Choza o cabaña (023)",2502,2180,1333,427,420,322,,,205,117
"Local no dest.para hab. humana (025)",9,9,9,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
