"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia BOLIVAR (000)",11052,2294,1826,1963,1852,1296,1821
"Conviviente (001)",3808,45,597,1165,987,547,467
"Separado(a) (002)",319,4,45,51,60,67,92
"Casado(a) (003)",2369,4,63,351,602,530,819
"Viudo(a) (004)",456,,4,15,46,56,335
"Divorciado(a) (005)",31,,2,3,4,8,14
"Soltero(a) (006)",4069,2241,1115,378,153,88,94
"Hombres (008)",5721,1216,951,980,938,694,942
"Conviviente (009)",1871,10,209,569,509,302,272
"Separado(a) (010)",94,1,3,6,22,29,33
"Casado(a) (011)",1201,2,15,142,294,279,469
"Viudo(a) (012)",134,,1,3,12,20,98
"Divorciado(a) (013)",14,,,1,,5,8
"Soltero(a) (014)",2407,1203,723,259,101,59,62
"Mujeres (016)",5331,1078,875,983,914,602,879
"Conviviente (017)",1937,35,388,596,478,245,195
"Separado(a) (018)",225,3,42,45,38,38,59
"Casado(a) (019)",1168,2,48,209,308,251,350
"Viudo(a) (020)",322,,3,12,34,36,237
"Divorciado(a) (021)",17,,2,2,4,3,6
"Soltero(a) (022)",1662,1038,392,119,52,29,32
,,,,,,,
"URBANA (024)",4109,849,589,679,733,556,703
"Conviviente (025)",1254,17,135,353,359,219,171
"Separado(a) (026)",121,1,11,21,22,30,36
"Casado(a) (027)",1018,2,25,137,277,264,313
"Viudo(a) (028)",162,,,7,6,10,139
"Divorciado(a) (029)",9,,1,1,3,3,1
"Soltero(a) (030)",1545,829,417,160,66,30,43
"Hombres (032)",2058,420,300,319,370,292,357
"Conviviente (033)",609,7,43,162,173,123,101
"Separado(a) (034)",32,1,1,2,9,10,9
"Casado(a) (035)",525,1,7,52,145,135,185
"Viudo(a) (036)",42,,,2,2,3,35
"Divorciado(a) (037)",4,,,,,3,1
"Soltero(a) (038)",846,411,249,101,41,18,26
"Mujeres (040)",2051,429,289,360,363,264,346
"Conviviente (041)",645,10,92,191,186,96,70
"Separado(a) (042)",89,,10,19,13,20,27
"Casado(a) (043)",493,1,18,85,132,129,128
"Viudo(a) (044)",120,,,5,4,7,104
"Divorciado(a) (045)",5,,1,1,3,,
"Soltero(a) (046)",699,418,168,59,25,12,17
,,,,,,,
"RURAL (048)",6943,1445,1237,1284,1119,740,1118
"Conviviente (049)",2554,28,462,812,628,328,296
"Separado(a) (050)",198,3,34,30,38,37,56
"Casado(a) (051)",1351,2,38,214,325,266,506
"Viudo(a) (052)",294,,4,8,40,46,196
"Divorciado(a) (053)",22,,1,2,1,5,13
"Soltero(a) (054)",2524,1412,698,218,87,58,51
"Hombres (056)",3663,796,651,661,568,402,585
"Conviviente (057)",1262,3,166,407,336,179,171
"Separado(a) (058)",62,,2,4,13,19,24
"Casado(a) (059)",676,1,8,90,149,144,284
"Viudo(a) (060)",92,,1,1,10,17,63
"Divorciado(a) (061)",10,,,1,,2,7
"Soltero(a) (062)",1561,792,474,158,60,41,36
"Mujeres (064)",3280,649,586,623,551,338,533
"Conviviente (065)",1292,25,296,405,292,149,125
"Separado(a) (066)",136,3,32,26,25,18,32
"Casado(a) (067)",675,1,30,124,176,122,222
"Viudo(a) (068)",202,,3,7,30,29,133
"Divorciado(a) (069)",12,,1,1,1,3,6
"Soltero(a) (070)",963,620,224,60,27,17,15
