"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",124706,8235,38320,24627,16723,13890,9419,6234,7258
"Quechua (001)",56,2,15,7,11,10,8,3,
"Aymara (002)",14,3,5,3,1,1,,1,
"Ashaninca (003)",6,,1,1,2,,1,1,
"Otra lengua nativa (004)",18,4,7,6,,,,1,
"Castellano (005)",124399,8220,38252,24566,16684,13850,9370,6218,7239
"Idioma extranjero (006)",3,,,,,,3,,
"Es sordomudo/a (007)",210,6,40,44,25,29,37,10,19
"Hombres (009)",60498,4164,19298,11905,7847,6536,4521,2877,3350
"Quechua (010)",32,2,7,3,6,6,7,1,
"Aymara (011)",7,1,3,1,1,1,,,
"Ashaninca (012)",3,,1,,1,,,1,
"Otra lengua nativa (013)",14,3,5,6,,,,,
"Castellano (014)",60335,4155,19267,11877,7827,6514,4487,2868,3340
"Idioma extranjero (015)",3,,,,,,3,,
"Es sordomudo/a (016)",104,3,15,18,12,15,24,7,10
"Mujeres (018)",64208,4071,19022,12722,8876,7354,4898,3357,3908
"Quechua (019)",24,,8,4,5,4,1,2,
"Aymara (020)",7,2,2,2,,,,1,
"Ashaninca (021)",3,,,1,1,,1,,
"Otra lengua nativa (022)",4,1,2,,,,,1,
"Castellano (023)",64064,4065,18985,12689,8857,7336,4883,3350,3899
"Es sordomudo/a (025)",106,3,25,26,13,14,13,3,9
,,,,,,,,,
"URBANA (027)",34141,1781,9305,7548,4884,4359,2812,1647,1805
"Quechua (028)",34,1,6,4,7,7,6,3,
"Aymara (029)",8,1,3,2,1,1,,,
"Ashaninca (030)",2,,,,1,,1,,
"Otra lengua nativa (031)",10,1,3,6,,,,,
"Castellano (032)",34046,1774,9284,7528,4870,4350,2796,1642,1802
"Idioma extranjero (033)",3,,,,,,3,,
"Es sordomudo/a (034)",38,4,9,8,5,1,6,2,3
"Hombres (036)",16206,887,4663,3611,2210,1971,1335,700,829
"Quechua (037)",18,1,3,1,4,3,5,1,
"Aymara (038)",6,1,2,1,1,1,,,
"Otra lengua nativa (040)",10,1,3,6,,,,,
"Castellano (041)",16152,882,4652,3601,2202,1966,1323,698,828
"Idioma extranjero (042)",3,,,,,,3,,
"Es sordomudo/a (043)",17,2,3,2,3,1,4,1,1
"Mujeres (045)",17935,894,4642,3937,2674,2388,1477,947,976
"Quechua (046)",16,,3,3,3,4,1,2,
"Aymara (047)",2,,1,1,,,,,
"Ashaninca (048)",2,,,,1,,1,,
"Castellano (050)",17894,892,4632,3927,2668,2384,1473,944,974
"Es sordomudo/a (052)",21,2,6,6,2,,2,1,2
,,,,,,,,,
"RURAL (054)",90565,6454,29015,17079,11839,9531,6607,4587,5453
"Quechua (055)",22,1,9,3,4,3,2,,
"Aymara (056)",6,2,2,1,,,,1,
"Ashaninca (057)",4,,1,1,1,,,1,
"Otra lengua nativa (058)",8,3,4,,,,,1,
"Castellano (059)",90353,6446,28968,17038,11814,9500,6574,4576,5437
"Es sordomudo/a (061)",172,2,31,36,20,28,31,8,16
"Hombres (063)",44292,3277,14635,8294,5637,4565,3186,2177,2521
"Quechua (064)",14,1,4,2,2,3,2,,
"Aymara (065)",1,,1,,,,,,
"Ashaninca (066)",3,,1,,1,,,1,
"Otra lengua nativa (067)",4,2,2,,,,,,
"Castellano (068)",44183,3273,14615,8276,5625,4548,3164,2170,2512
"Es sordomudo/a (070)",87,1,12,16,9,14,20,6,9
"Mujeres (072)",46273,3177,14380,8785,6202,4966,3421,2410,2932
"Quechua (073)",8,,5,1,2,,,,
"Aymara (074)",5,2,1,1,,,,1,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",4,1,2,,,,,1,
"Castellano (077)",46170,3173,14353,8762,6189,4952,3410,2406,2925
"Es sordomudo/a (079)",85,1,19,20,11,14,11,2,7
