"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",11678,14,76,224,745,1821,6064,2734
"De 12 a 14 años (001)",51,,,,,,12,39
"De 15 a 19 años (002)",1064,,,,,,667,397
"De 20 a 24 años (003)",1953,,,,,6,1400,547
"De 25 a 29 años (004)",1815,,,,,45,1374,396
"De 30 a 34 años (005)",1420,,,,1,151,1049,219
"De 35 a 39 años (006)",1328,,,,9,284,818,217
"De 40 a 44 años (007)",1036,,,,34,353,484,165
"De 45 a 49 años (008)",854,,,1,71,422,223,137
"De 50 y más años (009)",2157,14,76,223,630,560,37,617
"PEA (010)",3682,2,19,57,271,718,1711,904
"De 12 a 14 años (011)",7,,,,,,1,6
"De 15 a 19 años (012)",215,,,,,,125,90
"De 20 a 24 años (013)",514,,,,,2,334,178
"De 25 a 29 años (014)",543,,,,,17,388,138
"De 30 a 34 años (015)",441,,,,1,58,308,74
"De 35 a 39 años (016)",497,,,,5,111,281,100
"De 40 a 44 años (017)",425,,,,17,157,177,74
"De 45 a 49 años (018)",352,,,1,37,167,90,57
"De 50 y más años (019)",688,2,19,56,211,206,7,187
"Ocupada (020)",3557,2,19,57,268,706,1642,863
"De 12 a 14 años (021)",7,,,,,,1,6
"De 15 a 19 años (022)",190,,,,,,109,81
"De 20 a 24 años (023)",486,,,,,2,318,166
"De 25 a 29 años (024)",523,,,,,17,376,130
"De 30 a 34 años (025)",424,,,,1,54,299,70
"De 35 a 39 años (026)",483,,,,4,110,272,97
"De 40 a 44 años (027)",416,,,,17,155,172,72
"De 45 a 49 años (028)",345,,,1,37,163,88,56
"De 50 y más años (029)",683,2,19,56,209,205,7,185
"Desocupada (030)",125,,,,3,12,69,41
"De 15 a 19 años (032)",25,,,,,,16,9
"De 20 a 24 años (033)",28,,,,,,16,12
"De 25 a 29 años (034)",20,,,,,,12,8
"De 30 a 34 años (035)",17,,,,,4,9,4
"De 35 a 39 años (036)",14,,,,1,1,9,3
"De 40 a 44 años (037)",9,,,,,2,5,2
"De 45 a 49 años (038)",7,,,,,4,2,1
"De 50 y más años (039)",5,,,,2,1,,2
"No PEA (040)",7996,12,57,167,474,1103,4353,1830
"De 12 a 14 años (041)",44,,,,,,11,33
"De 15 a 19 años (042)",849,,,,,,542,307
"De 20 a 24 años (043)",1439,,,,,4,1066,369
"De 25 a 29 años (044)",1272,,,,,28,986,258
"De 30 a 34 años (045)",979,,,,,93,741,145
"De 35 a 39 años (046)",831,,,,4,173,537,117
"De 40 a 44 años (047)",611,,,,17,196,307,91
"De 45 a 49 años (048)",502,,,,34,255,133,80
