"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CUTERVO",,,,,,,
"Viviendas particulares (001)",31110,4377,920,1048,17646,266,6853
"Ocupantes presentes (002)",137853,18653,3857,4549,82152,1082,27560
"Casa independiente",,,,,,,
"Viviendas particulares (004)",28439,4227,872,983,16015,244,6098
"Ocupantes presentes (005)",126202,17956,3682,4259,74588,988,24729
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",70,54,16,,,,
"Ocupantes presentes (008)",316,270,46,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",53,36,13,,,,4
"Ocupantes presentes (011)",221,164,46,,,,11
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",68,49,17,,,,2
"Ocupantes presentes (014)",300,220,74,,,,6
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2452,5,,65,1619,21,742
"Ocupantes presentes (017)",10716,23,,290,7516,92,2795
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4,1,,,,,3
"Ocupantes presentes (020)",15,5,,,,,10
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",21,5,2,,11,1,2
"Ocupantes presentes (023)",80,15,9,,47,2,7
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,,,,1,,2
"Ocupantes presentes (026)",3,,,,1,,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6374,4206,728,105,658,101,576
"Ocupantes presentes (029)",26520,17972,3015,426,2631,384,2092
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6170,4061,680,105,658,100,566
"Ocupantes presentes (032)",25641,17298,2840,426,2631,382,2064
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",70,54,16,,,,
"Ocupantes presentes (035)",316,270,46,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",53,36,13,,,,4
"Ocupantes presentes (038)",221,164,46,,,,11
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",68,49,17,,,,2
"Ocupantes presentes (041)",300,220,74,,,,6
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4,1,,,,,3
"Ocupantes presentes (047)",15,5,,,,,10
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,5,2,,,1,
"Ocupantes presentes (050)",26,15,9,,,2,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,,,,,,1
"Ocupantes presentes (053)",1,,,,,,1
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",24736,171,192,943,16988,165,6277
"Ocupantes presentes (056)",111333,681,842,4123,79521,698,25468
"Casa independiente",,,,,,,
"Viviendas particulares (058)",22269,166,192,878,15357,144,5532
"Ocupantes presentes (059)",100561,658,842,3833,71957,606,22665
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2452,5,,65,1619,21,742
"Ocupantes presentes (071)",10716,23,,290,7516,92,2795
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",13,,,,11,,2
"Ocupantes presentes (077)",54,,,,47,,7
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,,1,,1
"Ocupantes presentes (080)",2,,,,1,,1
