"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LAMPA (000)",18504,17781,5674,2395,2232,1742,2601,1596,1541,723
"Católica (001)",16133,15486,5018,2106,1975,1519,2254,1325,1289,647
"Cristiana/Evangélica (002)",1608,1555,399,204,177,156,244,199,176,53
"Otra (003)",526,505,146,57,56,53,75,56,62,21
"Ninguna (004)",237,235,111,28,24,14,28,16,14,2
,,,,,,,,,,
"URBANA (006)",7239,6963,2337,1094,993,719,931,464,425,276
"Católica (007)",6430,6185,2107,985,893,640,828,381,351,245
"Cristiana/Evangélica (008)",524,505,130,74,71,51,73,57,49,19
"Otra (009)",199,187,55,26,21,22,24,19,20,12
"Ninguna (010)",86,86,45,9,8,6,6,7,5,
,,,,,,,,,,
"RURAL (012)",11265,10818,3337,1301,1239,1023,1670,1132,1116,447
"Católica (013)",9703,9301,2911,1121,1082,879,1426,944,938,402
"Cristiana/Evangélica (014)",1084,1050,269,130,106,105,171,142,127,34
"Otra (015)",327,318,91,31,35,31,51,37,42,9
"Ninguna (016)",151,149,66,19,16,8,22,9,9,2
