"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CANTA (000)",4949,13786,12751,,223,92.5,1.6
"De 12 a 14 años (001)",430,,,,,,
"De 15 a 19 años (002)",540,101,97,30,96,29.7,
"De 20 a 24 años (003)",521,442,433,55,98,12.4,
"De 25 a 29 años (004)",459,746,734,64,98.4,8.6,
"De 30 a 34 años (005)",438,1003,984,39,98.1,3.9,
"De 35 a 39 años (006)",413,1265,1217,27,96.2,2.1,
"De 40 a 44 años (007)",356,1322,1255,8,94.9,0.6,
"De 45 a 49 años (008)",318,1294,1237,,95.6,,
"De 50 y más años (009)",1474,7613,6794,,89.2,,
"PEA (010)",1957,5690,5321,64,93.5,1.1,
"De 12 a 14 años (011)",25,,,,,,
"De 15 a 19 años (012)",120,23,22,4,95.7,17.4,
"De 20 a 24 años (013)",222,154,152,12,98.7,7.8,
"De 25 a 29 años (014)",210,290,284,13,97.9,4.5,
"De 30 a 34 años (015)",244,496,485,20,97.8,4,
"De 35 a 39 años (016)",231,678,655,13,96.6,1.9,
"De 40 a 44 años (017)",182,685,651,2,95,0.3,
"De 45 a 49 años (018)",178,664,639,,96.2,,
"De 50 y más años (019)",545,2700,2433,,90.1,,
"Ocupada (020)",1926,5635,5266,62,93.5,1.1,
"De 12 a 14 años (021)",24,,,,,,
"De 15 a 19 años (022)",113,22,21,4,95.5,18.2,
"De 20 a 24 años (023)",215,153,151,12,98.7,7.8,
"De 25 a 29 años (024)",206,287,281,11,97.9,3.8,
"De 30 a 34 años (025)",242,490,479,20,97.8,4.1,
"De 35 a 39 años (026)",229,675,652,13,96.6,1.9,
"De 40 a 44 años (027)",182,685,651,2,95,0.3,
"De 45 a 49 años (028)",173,642,617,,96.1,,
"De 50 y más años (029)",542,2681,2414,,90,,
"Desocupada (030)",31,55,55,2,100,3.6,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",7,1,1,,100,,
"De 20 a 24 años (033)",7,1,1,,100,,
"De 25 a 29 años (034)",4,3,3,2,100,66.7,
"De 30 a 34 años (035)",2,6,6,,100,,
"De 35 a 39 años (036)",2,3,3,,100,,
"De 45 a 49 años (038)",5,22,22,,100,,
"De 50 y más años (039)",3,19,19,,100,,
"No PEA (040)",2992,8096,7430,159,91.8,2,
