"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAYLLOMA (000)",19483,226,7202,6589,2089,656,278,71,6,,2366
"Catolica (001)",16036,187,5850,5464,1755,541,227,56,4,,1952
"Cristiana / Evangelica (002)",2269,27,900,783,199,69,33,12,2,,244
"Otra (003)",870,11,333,251,102,39,16,2,,,116
"Ninguna (004)",308,1,119,91,33,7,2,1,,,54
,,,,,,,,,,,
"URBANA (006)",12952,141,4700,4320,1384,444,200,50,5,,1708
"Catolica (007)",10557,116,3801,3538,1146,363,164,38,3,,1388
"Cristiana / Evangelica (008)",1511,16,572,521,135,46,23,9,2,,187
"Otra (009)",650,8,236,193,78,30,12,2,,,91
"Ninguna (010)",234,1,91,68,25,5,1,1,,,42
,,,,,,,,,,,
"RURAL (012)",6531,85,2502,2269,705,212,78,21,1,,658
"Catolica (013)",5479,71,2049,1926,609,178,63,18,1,,564
"Cristiana / Evangelica (014)",758,11,328,262,64,23,10,3,,,57
"Otra (015)",220,3,97,58,24,9,4,,,,25
"Ninguna (016)",74,,28,23,8,2,1,,,,12
