"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ALTO AMAZONAS (000)",1210,355,855
"Sin nivel (001)",60,15,45
"Educación inicial (002)",3,3,
"Primaria (003)",481,132,349
"Secundaria (004)",477,145,332
"Superior no univ. incompleta (005)",49,22,27
"Superior no univ. completa (006)",66,19,47
"Superior univ. incompleta (007)",30,9,21
"Superior univ. completa (008)",44,10,34
"Hombres (010)",916,254,662
"Sin nivel (011)",46,12,34
"Educación inicial (012)",2,2,
"Primaria (013)",382,96,286
"Secundaria (014)",362,107,255
"Superior no univ. incompleta (015)",32,10,22
"Superior no univ. completa (016)",45,12,33
"Superior univ. incompleta (017)",23,7,16
"Superior univ. completa (018)",24,8,16
"Mujeres (020)",294,101,193
"Sin nivel (021)",14,3,11
"Educación inicial (022)",1,1,
"Primaria (023)",99,36,63
"Secundaria (024)",115,38,77
"Superior no univ. incompleta (025)",17,12,5
"Superior no univ. completa (026)",21,7,14
"Superior univ. incompleta (027)",7,2,5
"Superior univ. completa (028)",20,2,18
,,,
"AREA URBANA (030)",893,274,619
"Sin nivel (031)",25,8,17
"Educación inicial (032)",3,3,
"Primaria (033)",281,84,197
"Secundaria (034)",404,125,279
"Superior no univ. incompleta (035)",43,18,25
"Superior no univ. completa (036)",65,18,47
"Superior univ. incompleta (037)",29,8,21
"Superior univ. completa (038)",43,10,33
"Hombres (040)",631,184,447
"Sin nivel (041)",19,7,12
"Educación inicial (042)",2,2,
"Primaria (043)",198,53,145
"Secundaria (044)",294,90,204
"Superior no univ. incompleta (045)",28,7,21
"Superior no univ. completa (046)",44,11,33
"Superior univ. incompleta (047)",22,6,16
"Superior univ. completa (048)",24,8,16
"Mujeres (050)",262,90,172
"Sin nivel (051)",6,1,5
"Educación inicial (052)",1,1,
"Primaria (053)",83,31,52
"Secundaria (054)",110,35,75
"Superior no univ. incompleta (055)",15,11,4
"Superior no univ. completa (056)",21,7,14
"Superior univ. incompleta (057)",7,2,5
"Superior univ. completa (058)",19,2,17
,,,
"AREA RURAL (060)",317,81,236
"Sin nivel (061)",35,7,28
"Primaria (063)",200,48,152
"Secundaria (064)",73,20,53
"Superior no univ. incompleta (065)",6,4,2
"Superior no univ. completa (066)",1,1,
"Superior univ. incompleta (067)",1,1,
"Superior univ. completa (068)",1,,1
"Hombres (070)",285,70,215
"Sin nivel (071)",27,5,22
"Primaria (073)",184,43,141
"Secundaria (074)",68,17,51
"Superior no univ. incompleta (075)",4,3,1
"Superior no univ. completa (076)",1,1,
"Superior univ. incompleta (077)",1,1,
"Mujeres (080)",32,11,21
"Sin nivel (081)",8,2,6
"Primaria (083)",16,5,11
"Secundaria (084)",5,3,2
"Superior no univ. incompleta (085)",2,1,1
"Superior univ. completa (088)",1,,1
