"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ACOBAMBA (000)",54540,16836,16789,10108,7453,3354
"Hombres (001)",26714,8554,8261,4911,3519,1469
"Mujeres (002)",27826,8282,8528,5197,3934,1885
"PEA (003)",16591,286,5866,5526,3799,1114
"Hombres (004)",11320,151,3888,3882,2644,755
"Mujeres (005)",5271,135,1978,1644,1155,359
"Ocupada (006)",15410,262,5296,5172,3621,1059
"Hombres (007)",10396,136,3479,3587,2488,706
"Mujeres (008)",5014,126,1817,1585,1133,353
"Desocupada (009)",1181,24,570,354,178,55
"Hombres (010)",924,15,409,295,156,49
"Mujeres (011)",257,9,161,59,22,6
"No PEA (012)",37949,16550,10923,4582,3654,2240
"Hombres (013)",15394,8403,4373,1029,875,714
"Mujeres (014)",22555,8147,6550,3553,2779,1526
,,,,,,
"URBANA (018)",16833,4647,5162,3613,2424,987
"Hombres (019)",8192,2317,2509,1788,1154,424
"Mujeres (020)",8641,2330,2653,1825,1270,563
"PEA (021)",5534,88,1693,2152,1267,334
"Hombres (022)",3539,55,1041,1385,838,220
"Mujeres (023)",1995,33,652,767,429,114
"Ocupada (024)",4951,82,1440,1954,1170,305
"Hombres (025)",3090,49,865,1228,755,193
"Mujeres (026)",1861,33,575,726,415,112
"Desocupada (027)",583,6,253,198,97,29
"Hombres (028)",449,6,176,157,83,27
"Mujeres (029)",134,,77,41,14,2
"No PEA (030)",11299,4559,3469,1461,1157,653
"Hombres (031)",4653,2262,1468,403,316,204
"Mujeres (032)",6646,2297,2001,1058,841,449
,,,,,,
"RURAL (036)",37707,12189,11627,6495,5029,2367
"Hombres (037)",18522,6237,5752,3123,2365,1045
"Mujeres (038)",19185,5952,5875,3372,2664,1322
"PEA (039)",11057,198,4173,3374,2532,780
"Hombres (040)",7781,96,2847,2497,1806,535
"Mujeres (041)",3276,102,1326,877,726,245
"Ocupada (042)",10459,180,3856,3218,2451,754
"Hombres (043)",7306,87,2614,2359,1733,513
"Mujeres (044)",3153,93,1242,859,718,241
"Desocupada (045)",598,18,317,156,81,26
"Hombres (046)",475,9,233,138,73,22
"Mujeres (047)",123,9,84,18,8,4
"No PEA (048)",26650,11991,7454,3121,2497,1587
"Hombres (049)",10741,6141,2905,626,559,510
"Mujeres (050)",15909,5850,4549,2495,1938,1077
