"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUCANAS (000)",23580,3480,4506,12012,194,3112,276
"Agric., ganadería, caza y silvicultura (001)",11783,21,2015,7063,111,2573,
"Pesca (002)",5,,3,2,,,
"Explotación de minas y canteras (003)",2627,71,1389,1083,6,78,
"Industrias manufactureras (004)",522,16,168,308,10,20,
"Suministro de electricidad, gas y agua (005)",32,5,26,1,,,
"Construcción (006)",587,35,412,123,7,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2417,137,28,1969,25,258,
"Venta, mant.y rep. veh.autom.y motoc. (008)",106,6,18,74,3,5,
"Comercio al por mayor (009)",85,11,,65,2,7,
"Comercio al por menor (010)",2226,120,10,1830,20,246,
"Hoteles y restaurantes (011)",587,124,23,381,9,50,
"Trans., almac. y comunicaciones (012)",663,149,102,389,12,11,
"Intermediación financiera (013)",30,30,,,,,
"Activid.inmobil., empres. y alquileres (014)",237,145,9,77,5,1,
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,336,123,,,,
"Enseñanza (016)",1933,1798,,129,,6,
"Servicios sociales y de salud (017)",399,356,2,35,2,4,
"Otras activ. serv.comun.soc y personales (018)",204,60,17,123,2,2,
"Hogares privados con servicio doméstico (019)",276,,,,,,276
"Actividad economica no especificada (021)",819,197,189,329,5,99,
"Hombres (022)",16090,1959,3794,8697,144,1464,32
"Agric., ganadería, caza y silvicultura (023)",8547,18,1490,5698,89,1252,
"Pesca (024)",5,,3,2,,,
"Explotación de minas y canteras (025)",2492,58,1354,1003,6,71,
"Industrias manufactureras (026)",391,11,114,243,7,16,
"Suministro de electricidad, gas y agua (027)",27,5,21,1,,,
"Construcción (028)",567,30,403,118,7,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1033,72,28,867,12,54,
"Venta, mant.y rep. veh.autom.y motoc. (030)",95,6,18,64,2,5,
"Comercio al por mayor (031)",48,8,,37,2,1,
"Comercio al por menor (032)",890,58,10,766,8,48,
"Hoteles y restaurantes (033)",100,29,7,52,4,8,
"Trans., almac. y comunicaciones (034)",631,134,98,379,10,10,
"Intermediación financiera (035)",18,18,,,,,
"Activid.inmobil., empres. y alquileres (036)",188,113,9,61,4,1,
"Admin.pub. y defensa; p. segur.soc.afil (037)",369,263,106,,,,
"Enseñanza (038)",962,924,,36,,2,
"Servicios sociales y de salud (039)",170,139,2,25,2,2,
"Otras activ. serv.comun.soc y personales (040)",128,41,16,70,1,,
"Hogares privados con servicio doméstico (041)",32,,,,,,32
"Actividad economica no especificada (043)",430,104,143,142,2,39,
"Mujeres (044)",7490,1521,712,3315,50,1648,244
"Agric., ganadería, caza y silvicultura (045)",3236,3,525,1365,22,1321,
"Explotación de minas y canteras (047)",135,13,35,80,,7,
"Industrias manufactureras (048)",131,5,54,65,3,4,
"Suministro de electricidad, gas y agua (049)",5,,5,,,,
"Construcción (050)",20,5,9,5,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1384,65,,1102,13,204,
"Venta, mant.y rep. veh.autom.y motoc. (052)",11,,,10,1,,
"Comercio al por mayor (053)",37,3,,28,,6,
"Comercio al por menor (054)",1336,62,,1064,12,198,
"Hoteles y restaurantes (055)",487,95,16,329,5,42,
"Trans., almac. y comunicaciones (056)",32,15,4,10,2,1,
"Intermediación financiera (057)",12,12,,,,,
"Activid.inmobil., empres. y alquileres (058)",49,32,,16,1,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",90,73,17,,,,
"Enseñanza (060)",971,874,,93,,4,
"Servicios sociales y de salud (061)",229,217,,10,,2,
"Otras activ. serv.comun.soc y personales (062)",76,19,1,53,1,2,
"Hogares privados con servicio doméstico (063)",244,,,,,,244
"Actividad economica no especificada (065)",389,93,46,187,3,60,
,,,,,,,
"URBANA (066)",13922,2947,2076,6871,124,1681,223
"Agric., ganadería, caza y silvicultura (067)",5978,15,1092,3510,64,1297,
"Pesca (068)",4,,2,2,,,
"Explotación de minas y canteras (069)",489,19,221,222,,27,
"Industrias manufactureras (070)",449,16,139,268,10,16,
"Suministro de electricidad, gas y agua (071)",11,5,6,,,,
"Construcción (072)",475,28,332,101,6,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2014,116,27,1638,17,216,
"Venta, mant.y rep. veh.autom.y motoc. (074)",93,6,18,62,2,5,
"Comercio al por mayor (075)",79,11,,59,2,7,
"Comercio al por menor (076)",1842,99,9,1517,13,204,
"Hoteles y restaurantes (077)",470,102,13,312,9,34,
"Trans., almac. y comunicaciones (078)",543,126,57,346,6,8,
"Intermediación financiera (079)",29,29,,,,,
"Activid.inmobil., empres. y alquileres (080)",214,134,9,67,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (081)",374,308,66,,,,
"Enseñanza (082)",1617,1520,,91,,6,
"Servicios sociales y de salud (083)",359,319,2,32,2,4,
"Otras activ. serv.comun.soc y personales (084)",169,49,9,108,2,1,
"Hogares privados con servicio doméstico (085)",223,,,,,,223
"Actividad economica no especificada (087)",504,161,101,174,5,63,
"Hombres (088)",8738,1682,1681,4592,91,676,16
"Agric., ganadería, caza y silvicultura (089)",4153,13,801,2735,51,553,
"Pesca (090)",4,,2,2,,,
"Explotación de minas y canteras (091)",473,15,218,216,,24,
"Industrias manufactureras (092)",336,11,90,214,7,14,
"Suministro de electricidad, gas y agua (093)",11,5,6,,,,
"Construcción (094)",457,23,325,96,6,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",854,61,27,714,11,41,
"Venta, mant.y rep. veh.autom.y motoc. (096)",83,6,18,53,1,5,
"Comercio al por mayor (097)",43,8,,32,2,1,
"Comercio al por menor (098)",728,47,9,629,8,35,
"Hoteles y restaurantes (099)",84,27,3,43,4,7,
"Trans., almac. y comunicaciones (100)",513,112,53,336,4,8,
"Intermediación financiera (101)",17,17,,,,,
"Activid.inmobil., empres. y alquileres (102)",170,105,9,52,3,1,
"Admin.pub. y defensa; p. segur.soc.afil (103)",302,242,60,,,,
"Enseñanza (104)",833,805,,26,,2,
"Servicios sociales y de salud (105)",151,122,2,23,2,2,
"Otras activ. serv.comun.soc y personales (106)",103,34,8,60,1,,
"Hogares privados con servicio doméstico (107)",16,,,,,,16
"Actividad economica no especificada (109)",261,90,77,75,2,17,
"Mujeres (110)",5184,1265,395,2279,33,1005,207
"Agric., ganadería, caza y silvicultura (111)",1825,2,291,775,13,744,
"Explotación de minas y canteras (113)",16,4,3,6,,3,
"Industrias manufactureras (114)",113,5,49,54,3,2,
"Construcción (116)",18,5,7,5,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1160,55,,924,6,175,
"Venta, mant.y rep. veh.autom.y motoc. (118)",10,,,9,1,,
"Comercio al por mayor (119)",36,3,,27,,6,
"Comercio al por menor (120)",1114,52,,888,5,169,
"Hoteles y restaurantes (121)",386,75,10,269,5,27,
