"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAROCHIRI (000)",32612,23053,2656,2804,4099
"Empleado (001)",5476,1695,744,969,2068
"Obrero (002)",8912,3903,1219,1782,2008
"Trabajador independiente (003)",13680,13156,524,,
"Empleador o patrono (004)",451,333,65,35,18
"Trabajador familiar no remunerado (005)",3281,3154,104,18,5
"Trabajador del hogar (006)",812,812,,,
"De 06 a 14 años (008)",346,327,17,2,
"Empleado (009)",18,16,2,,
"Obrero (010)",45,39,4,2,
"Trabajador independiente (011)",63,56,7,,
"Trabajador familiar no remunerado (013)",204,200,4,,
"Trabajador del hogar (014)",16,16,,,
"De 15 a 29 años (016)",10407,6861,1074,1056,1416
"Empleado (017)",1879,709,330,288,552
"Obrero (018)",3688,1556,528,746,858
"Trabajador independiente (019)",3160,2989,171,,
"Empleador o patrono (020)",90,66,8,11,5
"Trabajador familiar no remunerado (021)",1235,1186,37,11,1
"Trabajador del hogar (022)",355,355,,,
"De 30 a 44 años (024)",11337,7383,975,1186,1793
"Empleado (025)",2265,611,270,438,946
"Obrero (026)",3292,1278,436,737,841
"Trabajador independiente (027)",4515,4307,208,,
"Empleador o patrono (028)",158,116,28,9,5
"Trabajador familiar no remunerado (029)",839,803,33,2,1
"Trabajador del hogar (030)",268,268,,,
"De 45 a 64 años (032)",8005,6114,528,523,840
"Empleado (033)",1228,322,133,233,540
"Obrero (034)",1634,835,235,273,291
"Trabajador independiente (035)",4122,4012,110,,
"Empleador o patrono (036)",155,111,24,14,6
"Trabajador familiar no remunerado (037)",717,685,26,3,3
"Trabajador del hogar (038)",149,149,,,
"De 65 y más años (040)",2517,2368,62,37,50
"Empleado (041)",86,37,9,10,30
"Obrero (042)",253,195,16,24,18
"Trabajador independiente (043)",1820,1792,28,,
"Empleador o patrono (044)",48,40,5,1,2
"Trabajador familiar no remunerado (045)",286,280,4,2,
"Trabajador del hogar (046)",24,24,,,
,,,,,
"URBANA (048)",21279,14863,1780,1769,2867
"Empleado (049)",4451,1306,608,811,1726
"Obrero (050)",5145,2408,697,915,1125
"Trabajador independiente (051)",8942,8588,354,,
"Empleador o patrono (052)",291,194,56,27,14
"Trabajador familiar no remunerado (053)",1871,1788,65,16,2
