"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ESPINAR (000)",44445,7997,4584,1898,30441
"Conviviente (001)",9937,1337,1332,464,6903
"Separado(a) (002)",961,132,81,34,722
"Casado(a) (003)",15048,2181,1778,858,10522
"Viudo(a) (004)",2464,356,98,58,1954
"Divorciado(a) (005)",133,9,18,7,102
"Soltero(a) (006)",15902,3982,1277,477,10238
"Hombres (008)",22128,3521,2672,1431,14936
"Conviviente (009)",4787,449,760,363,3308
"Separado(a) (010)",206,18,36,19,140
"Casado(a) (011)",7601,932,1113,686,5148
"Viudo(a) (012)",755,104,34,28,591
"Divorciado(a) (013)",59,3,12,6,41
"Soltero(a) (014)",8720,2015,717,329,5708
"Mujeres (016)",22317,4476,1912,467,15505
"Conviviente (017)",5150,888,572,101,3595
"Separado(a) (018)",755,114,45,15,582
"Casado(a) (019)",7447,1249,665,172,5374
"Viudo(a) (020)",1709,252,64,30,1363
"Divorciado(a) (021)",74,6,6,1,61
"Soltero(a) (022)",7182,1967,560,148,4530
,,,,,
"URBANA (024)",20066,2092,3867,1464,13096
"Conviviente (025)",5819,444,1162,371,3935
"Separado(a) (026)",524,40,65,28,398
"Casado(a) (027)",5378,353,1463,649,3194
"Viudo(a) (028)",712,56,68,27,563
"Divorciado(a) (029)",71,4,17,6,47
"Soltero(a) (030)",7562,1195,1092,383,4959
"Hombres (032)",10122,946,2220,1162,6209
"Conviviente (033)",2787,155,652,289,1778
"Separado(a) (034)",117,6,29,15,73
"Casado(a) (035)",2839,157,901,566,1484
"Viudo(a) (036)",185,16,23,18,130
"Divorciado(a) (037)",34,2,11,6,18
"Soltero(a) (038)",4160,610,604,268,2726
"Mujeres (040)",9944,1146,1647,302,6887
"Conviviente (041)",3032,289,510,82,2157
"Separado(a) (042)",407,34,36,13,325
"Casado(a) (043)",2539,196,562,83,1710
"Viudo(a) (044)",527,40,45,9,433
"Divorciado(a) (045)",37,2,6,,29
"Soltero(a) (046)",3402,585,488,115,2233
,,,,,
"RURAL (048)",24379,5905,717,434,17345
"Conviviente (049)",4118,893,170,93,2968
"Separado(a) (050)",437,92,16,6,324
"Casado(a) (051)",9670,1828,315,209,7328
"Viudo(a) (052)",1752,300,30,31,1391
"Divorciado(a) (053)",62,5,1,1,55
"Soltero(a) (054)",8340,2787,185,94,5279
"Hombres (056)",12006,2575,452,269,8727
"Conviviente (057)",2000,294,108,74,1530
"Separado(a) (058)",89,12,7,4,67
"Casado(a) (059)",4762,775,212,120,3664
"Viudo(a) (060)",570,88,11,10,461
"Divorciado(a) (061)",25,1,1,,23
"Soltero(a) (062)",4560,1405,113,61,2982
"Mujeres (064)",12373,3330,265,165,8618
"Conviviente (065)",2118,599,62,19,1438
"Separado(a) (066)",348,80,9,2,257
"Casado(a) (067)",4908,1053,103,89,3664
"Viudo(a) (068)",1182,212,19,21,930
"Divorciado(a) (069)",37,4,,1,32
"Soltero(a) (070)",3780,1382,72,33,2297
