"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PUERTO INCA (000)",28541,4413,539,15826,6528,324,372,135,404
"Quechua (001)",1582,400,5,899,220,13,19,8,18
"Aymara (002)",81,11,1,52,13,1,1,1,1
"Ashaninca (003)",545,169,2,328,44,1,1,,
"Otra lengua nativa (004)",731,153,18,410,141,5,2,,2
"Castellano (005)",25541,3636,513,14123,6107,304,349,126,383
"Idioma extranjero (006)",2,,,1,1,,,,
"Es sordomudo/a (007)",59,44,,13,2,,,,
"Hombres (009)",15722,1980,263,8698,4010,206,229,97,239
"Quechua (010)",876,129,1,534,165,10,16,7,14
"Aymara (011)",47,3,1,31,9,1,1,,1
"Ashaninca (012)",243,63,,152,27,,1,,
"Otra lengua nativa (013)",365,60,9,205,84,4,2,,1
"Castellano (014)",14154,1699,252,7768,3722,191,209,90,223
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",36,26,,8,2,,,,
"Mujeres (018)",12819,2433,276,7128,2518,118,143,38,165
"Quechua (019)",706,271,4,365,55,3,3,1,4
"Aymara (020)",34,8,,21,4,,,1,
"Ashaninca (021)",302,106,2,176,17,1,,,
"Otra lengua nativa (022)",366,93,9,205,57,1,,,1
"Castellano (023)",11387,1937,261,6355,2385,113,140,36,160
"Idioma extranjero (024)",1,,,1,,,,,
"Es sordomudo/a (025)",23,18,,5,,,,,
,,,,,,,,,
"URBANA (027)",5764,582,136,2476,1918,160,206,71,215
"Quechua (028)",176,33,,80,36,4,8,5,10
"Aymara (029)",11,2,,6,1,,1,1,
"Ashaninca (030)",13,3,,7,3,,,,
"Otra lengua nativa (031)",12,,,9,3,,,,
"Castellano (032)",5547,541,136,2372,1875,156,197,65,205
"Idioma extranjero (033)",1,,,1,,,,,
"Es sordomudo/a (034)",4,3,,1,,,,,
"Hombres (036)",2997,249,69,1203,1066,91,131,53,135
"Quechua (037)",98,7,,44,21,3,8,5,10
"Aymara (038)",4,1,,1,1,,1,,
"Ashaninca (039)",4,,,2,2,,,,
"Otra lengua nativa (040)",7,,,4,3,,,,
"Castellano (041)",2882,239,69,1152,1039,88,122,48,125
"Es sordomudo/a (043)",2,2,,,,,,,
"Mujeres (045)",2767,333,67,1273,852,69,75,18,80
"Quechua (046)",78,26,,36,15,1,,,
"Aymara (047)",7,1,,5,,,,1,
"Ashaninca (048)",9,3,,5,1,,,,
"Otra lengua nativa (049)",5,,,5,,,,,
"Castellano (050)",2665,302,67,1220,836,68,75,17,80
"Idioma extranjero (051)",1,,,1,,,,,
"Es sordomudo/a (052)",2,1,,1,,,,,
,,,,,,,,,
"RURAL (054)",22777,3831,403,13350,4610,164,166,64,189
"Quechua (055)",1406,367,5,819,184,9,11,3,8
"Aymara (056)",70,9,1,46,12,1,,,1
"Ashaninca (057)",532,166,2,321,41,1,1,,
"Otra lengua nativa (058)",719,153,18,401,138,5,2,,2
"Castellano (059)",19994,3095,377,11751,4232,148,152,61,178
"Idioma extranjero (060)",1,,,,1,,,,
"Es sordomudo/a (061)",55,41,,12,2,,,,
"Hombres (063)",12725,1731,194,7495,2944,115,98,44,104
"Quechua (064)",778,122,1,490,144,7,8,2,4
"Aymara (065)",43,2,1,30,8,1,,,1
"Ashaninca (066)",239,63,,150,25,,1,,
"Otra lengua nativa (067)",358,60,9,201,81,4,2,,1
"Castellano (068)",11272,1460,183,6616,2683,103,87,42,98
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",34,24,,8,2,,,,
"Mujeres (072)",10052,2100,209,5855,1666,49,68,20,85
"Quechua (073)",628,245,4,329,40,2,3,1,4
"Aymara (074)",27,7,,16,4,,,,
"Ashaninca (075)",293,103,2,171,16,1,,,
"Otra lengua nativa (076)",361,93,9,200,57,1,,,1
"Castellano (077)",8722,1635,194,5135,1549,45,65,19,80
"Es sordomudo/a (079)",21,17,,4,,,,,
