"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANDIA (000)",58297,8387,1425,24850,20053,1024,918,513,1127
"Quechua (001)",31399,5434,507,15273,9132,318,297,137,301
"Aymara (002)",6117,450,26,2502,2655,152,108,65,159
"Ashaninca (003)",14,1,,5,7,,,,1
"Otra lengua nativa (004)",4,,,1,2,,,,1
"Castellano (005)",20702,2455,892,7060,8256,553,513,310,663
"Idioma extranjero (006)",4,,,,,1,,1,2
"Es sordomudo/a (007)",57,47,,9,1,,,,
"Hombres (009)",31289,3179,719,12868,12170,642,541,378,792
"Quechua (010)",16276,1716,255,7903,5643,222,204,108,225
"Aymara (011)",3704,206,19,1336,1782,102,72,62,125
"Ashaninca (012)",8,,,2,5,,,,1
"Otra lengua nativa (013)",2,,,1,1,,,,
"Castellano (014)",11264,1228,445,3623,4739,318,265,207,439
"Idioma extranjero (015)",3,,,,,,,1,2
"Es sordomudo/a (016)",32,29,,3,,,,,
"Mujeres (018)",27008,5208,706,11982,7883,382,377,135,335
"Quechua (019)",15123,3718,252,7370,3489,96,93,29,76
"Aymara (020)",2413,244,7,1166,873,50,36,3,34
"Ashaninca (021)",6,1,,3,2,,,,
"Otra lengua nativa (022)",2,,,,1,,,,1
"Castellano (023)",9438,1227,447,3437,3517,235,248,103,224
"Idioma extranjero (024)",1,,,,,1,,,
"Es sordomudo/a (025)",25,18,,6,1,,,,
,,,,,,,,,
"URBANA (027)",15548,1879,409,5553,5691,490,550,249,727
"Quechua (028)",5924,926,55,2489,1926,138,141,57,192
"Aymara (029)",964,90,2,330,358,49,52,6,77
"Ashaninca (030)",8,1,,2,4,,,,1
"Otra lengua nativa (031)",2,,,,1,,,,1
"Castellano (032)",8632,848,352,2730,3402,303,357,186,454
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",16,14,,2,,,,,
"Hombres (036)",7748,700,200,2532,3088,288,294,168,478
"Quechua (037)",2790,251,24,1082,1070,93,87,43,140
"Aymara (038)",524,28,2,150,221,28,31,6,58
"Ashaninca (039)",4,,,,3,,,,1
"Otra lengua nativa (040)",1,,,,1,,,,
"Castellano (041)",4416,410,174,1300,1793,167,176,119,277
"Idioma extranjero (042)",2,,,,,,,,2
"Es sordomudo/a (043)",11,11,,,,,,,
"Mujeres (045)",7800,1179,209,3021,2603,202,256,81,249
"Quechua (046)",3134,675,31,1407,856,45,54,14,52
"Aymara (047)",440,62,,180,137,21,21,,19
"Ashaninca (048)",4,1,,2,1,,,,
"Otra lengua nativa (049)",1,,,,,,,,1
"Castellano (050)",4216,438,178,1430,1609,136,181,67,177
"Es sordomudo/a (052)",5,3,,2,,,,,
,,,,,,,,,
"RURAL (054)",42749,6508,1016,19297,14362,534,368,264,400
"Quechua (055)",25475,4508,452,12784,7206,180,156,80,109
"Aymara (056)",5153,360,24,2172,2297,103,56,59,82
"Ashaninca (057)",6,,,3,3,,,,
"Otra lengua nativa (058)",2,,,1,1,,,,
"Castellano (059)",12070,1607,540,4330,4854,250,156,124,209
"Idioma extranjero (060)",2,,,,,1,,1,
"Es sordomudo/a (061)",41,33,,7,1,,,,
"Hombres (063)",23541,2479,519,10336,9082,354,247,210,314
"Quechua (064)",13486,1465,231,6821,4573,129,117,65,85
"Aymara (065)",3180,178,17,1186,1561,74,41,56,67
"Ashaninca (066)",4,,,2,2,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",6848,818,271,2323,2946,151,89,88,162
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",21,18,,3,,,,,
"Mujeres (072)",19208,4029,497,8961,5280,180,121,54,86
"Quechua (073)",11989,3043,221,5963,2633,51,39,15,24
"Aymara (074)",1973,182,7,986,736,29,15,3,15
"Ashaninca (075)",2,,,1,1,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",5222,789,269,2007,1908,99,67,36,47
"Idioma extranjero (078)",1,,,,,1,,,
"Es sordomudo/a (079)",20,15,,4,1,,,,
