"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOYOBAMBA (000)",57,57,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",31,31,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",12,12,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,7,
