"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia DOS DE MAYO (000)",24617,19541,5076
"De 3 a 5 años (001)",3674,177,3497
"De 6 a 11 años (002)",8046,6849,1197
"De 12 a 16 años (003)",6553,6465,88
"De 17 a 24 años (004)",6344,6050,294
"Hombres (005)",12463,9966,2497
"De 3 a 5 años (006)",1888,86,1802
"De 6 a 11 años (007)",4062,3479,583
"De 12 a 16 años (008)",3360,3322,38
"De 17 a 24 años (009)",3153,3079,74
"Mujeres (010)",12154,9575,2579
"De 3 a 5 años (011)",1786,91,1695
"De 6 a 11 años (012)",3984,3370,614
"De 12 a 16 años (013)",3193,3143,50
"De 17 a 24 años (014)",3191,2971,220
,,,
"URBANA (015)",8235,6830,1405
"De 3 a 5 años (016)",1137,70,1067
"De 6 a 11 años (017)",2548,2279,269
"De 12 a 16 años (018)",2305,2292,13
"De 17 a 24 años (019)",2245,2189,56
"Hombres (020)",4167,3465,702
"De 3 a 5 años (021)",574,34,540
"De 6 a 11 años (022)",1306,1165,141
"De 12 a 16 años (023)",1179,1173,6
"De 17 a 24 años (024)",1108,1093,15
"Mujeres (025)",4068,3365,703
"De 3 a 5 años (026)",563,36,527
"De 6 a 11 años (027)",1242,1114,128
"De 12 a 16 años (028)",1126,1119,7
"De 17 a 24 años (029)",1137,1096,41
,,,
"RURAL (030)",16382,12711,3671
"De 3 a 5 años (031)",2537,107,2430
"De 6 a 11 años (032)",5498,4570,928
"De 12 a 16 años (033)",4248,4173,75
"De 17 a 24 años (034)",4099,3861,238
"Hombres (035)",8296,6501,1795
"De 3 a 5 años (036)",1314,52,1262
"De 6 a 11 años (037)",2756,2314,442
"De 12 a 16 años (038)",2181,2149,32
"De 17 a 24 años (039)",2045,1986,59
"Mujeres (040)",8086,6210,1876
"De 3 a 5 años (041)",1223,55,1168
"De 6 a 11 años (042)",2742,2256,486
"De 12 a 16 años (043)",2067,2024,43
"De 17 a 24 años (044)",2054,1875,179
