"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia YUNGUYO",,,,,,,,,
"Viviendas particulares (001)",3884,1155,306,133,231,20,13,60,1966
"Ocupantes presentes (002)",14256,4418,1163,484,811,48,54,175,7103
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3859,1147,301,130,229,20,13,59,1960
"Ocupantes presentes (005)",14179,4392,1148,472,809,48,54,173,7083
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,1,1,,,,,,
"Ocupantes presentes (008)",6,4,2,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",7,2,1,1,2,,,,1
"Ocupantes presentes (011)",22,7,4,4,2,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",8,4,,2,,,,1,1
"Ocupantes presentes (014)",31,14,,8,,,,2,7
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",4,,3,,,,,,1
"Ocupantes presentes (017)",10,,9,,,,,,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,1,,,,,,,3
"Ocupantes presentes (023)",8,1,,,,,,,7
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1953,1077,262,94,108,12,11,13,376
"Ocupantes presentes (029)",7471,4170,1024,357,431,32,46,38,1373
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1932,1069,260,91,106,12,11,12,371
"Ocupantes presentes (032)",7404,4144,1018,345,429,32,46,36,1354
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,1,1,,,,,,
"Ocupantes presentes (035)",6,4,2,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",7,2,1,1,2,,,,1
"Ocupantes presentes (038)",22,7,4,4,2,,,,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",8,4,,2,,,,1,1
"Ocupantes presentes (041)",31,14,,8,,,,2,7
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,1,,,,,,,3
"Ocupantes presentes (050)",8,1,,,,,,,7
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1931,78,44,39,123,8,2,47,1590
"Ocupantes presentes (056)",6785,248,139,127,380,16,8,137,5730
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1927,78,41,39,123,8,2,47,1589
"Ocupantes presentes (059)",6775,248,130,127,380,16,8,137,5729
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",4,,3,,,,,,1
"Ocupantes presentes (071)",10,,9,,,,,,1
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
