"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia REQUENA (000)",21213,686,7004,7141,4961,1421
"Empleado (001)",2653,23,774,1231,599,26
"Obrero (002)",2738,124,1151,853,501,109
"Trabajador independiente (003)",10847,55,2942,3800,2968,1082
"Empleador o patrono (004)",396,2,108,140,110,36
"Trabajador familiar no remunerado (005)",3989,460,1709,967,705,148
"Trabajador del hogar (006)",590,22,320,150,78,20
"Hombres (008)",14867,472,4880,4938,3478,1099
"Empleado (009)",1624,14,436,744,408,22
"Obrero (010)",2272,99,970,707,405,91
"Trabajador independiente (011)",8551,39,2214,2977,2404,917
"Empleador o patrono (012)",323,1,81,116,92,33
"Trabajador familiar no remunerado (013)",2035,315,1148,379,159,34
"Trabajador del hogar (014)",62,4,31,15,10,2
"Mujeres (016)",6346,214,2124,2203,1483,322
"Empleado (017)",1029,9,338,487,191,4
"Obrero (018)",466,25,181,146,96,18
"Trabajador independiente (019)",2296,16,728,823,564,165
"Empleador o patrono (020)",73,1,27,24,18,3
"Trabajador familiar no remunerado (021)",1954,145,561,588,546,114
"Trabajador del hogar (022)",528,18,289,135,68,18
,,,,,,
"URBANA (024)",11926,358,3759,4205,2862,742
"Empleado (025)",2267,23,657,1036,528,23
"Obrero (026)",1773,72,713,572,340,76
"Trabajador independiente (027)",5645,54,1472,2029,1563,527
"Empleador o patrono (028)",233,2,52,86,70,23
"Trabajador familiar no remunerado (029)",1592,189,625,386,312,80
"Trabajador del hogar (030)",416,18,240,96,49,13
"Hombres (032)",7961,245,2481,2734,1950,551
"Empleado (033)",1365,14,362,613,357,19
"Obrero (034)",1510,62,622,479,283,64
"Trabajador independiente (035)",4060,38,1009,1419,1166,428
"Empleador o patrono (036)",175,1,33,67,54,20
"Trabajador familiar no remunerado (037)",812,127,438,146,82,19
"Trabajador del hogar (038)",39,3,17,10,8,1
"Mujeres (040)",3965,113,1278,1471,912,191
"Empleado (041)",902,9,295,423,171,4
"Obrero (042)",263,10,91,93,57,12
"Trabajador independiente (043)",1585,16,463,610,397,99
"Empleador o patrono (044)",58,1,19,19,16,3
"Trabajador familiar no remunerado (045)",780,62,187,240,230,61
"Trabajador del hogar (046)",377,15,223,86,41,12
,,,,,,
"RURAL (048)",9287,328,3245,2936,2099,679
"Empleado (049)",386,,117,195,71,3
"Obrero (050)",965,52,438,281,161,33
"Trabajador independiente (051)",5202,1,1470,1771,1405,555
"Empleador o patrono (052)",163,,56,54,40,13
"Trabajador familiar no remunerado (053)",2397,271,1084,581,393,68
"Trabajador del hogar (054)",174,4,80,54,29,7
"Hombres (056)",6906,227,2399,2204,1528,548
"Empleado (057)",259,,74,131,51,3
"Obrero (058)",762,37,348,228,122,27
"Trabajador independiente (059)",4491,1,1205,1558,1238,489
"Empleador o patrono (060)",148,,48,49,38,13
"Trabajador familiar no remunerado (061)",1223,188,710,233,77,15
"Trabajador del hogar (062)",23,1,14,5,2,1
"Mujeres (064)",2381,101,846,732,571,131
"Empleado (065)",127,,43,64,20,
"Obrero (066)",203,15,90,53,39,6
"Trabajador independiente (067)",711,,265,213,167,66
"Empleador o patrono (068)",15,,8,5,2,
"Trabajador familiar no remunerado (069)",1174,83,374,348,316,53
"Trabajador del hogar (070)",151,3,66,49,27,6
