"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MORROPON (000)",42539,379,15705,14085,4578,1666,788,241,35,,5062
"Catolica (001)",38796,338,14202,12879,4203,1526,722,220,34,,4672
"Cristiana / Evangelica (002)",2951,34,1225,947,269,104,57,18,,,297
"Otra (003)",581,3,209,188,79,30,7,2,1,,62
"Ninguna (004)",211,4,69,71,27,6,2,1,,,31
,,,,,,,,,,,
"URBANA (006)",25520,237,8886,8230,2916,1133,564,157,25,,3372
"Catolica (007)",23346,218,8075,7530,2677,1038,523,145,24,,3116
"Cristiana / Evangelica (008)",1623,15,645,509,162,65,33,9,,,185
"Otra (009)",432,2,132,149,63,27,6,2,1,,50
"Ninguna (010)",119,2,34,42,14,3,2,1,,,21
,,,,,,,,,,,
"RURAL (012)",17019,142,6819,5855,1662,533,224,84,10,,1690
"Catolica (013)",15450,120,6127,5349,1526,488,199,75,10,,1556
"Cristiana / Evangelica (014)",1328,19,580,438,107,39,24,9,,,112
"Otra (015)",149,1,77,39,16,3,1,,,,12
"Ninguna (016)",92,2,35,29,13,3,,,,,10
