"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia GENERAL SANCHEZ CERRO",,,,
"Viviendas particulares (001)",1716,634,875,207
"Ocupantes presentes (002)",5473,2099,2849,525
"Casa independiente",,,,
"Viviendas particulares (004)",1595,579,820,196
"Ocupantes presentes (005)",5158,1974,2676,508
"Departamento en edificio",,,,
"Viviendas particulares (007)",3,3,,
"Ocupantes presentes (008)",5,5,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",6,4,2,
"Ocupantes presentes (011)",7,5,2,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",103,45,52,6
"Ocupantes presentes (014)",290,112,167,11
"Choza o cabaña",,,,
"Viviendas particulares (016)",5,,,5
"Ocupantes presentes (017)",6,,,6
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",4,3,1,
"Ocupantes presentes (023)",7,3,4,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",1571,592,804,175
"Ocupantes presentes (029)",4988,1929,2606,453
"Casa independiente",,,,
"Viviendas particulares (031)",1457,538,754,165
"Ocupantes presentes (032)",4695,1809,2448,438
"Departamento en edificio",,,,
"Viviendas particulares (034)",3,3,,
"Ocupantes presentes (035)",5,5,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",6,4,2,
"Ocupantes presentes (038)",7,5,2,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",96,44,47,5
"Ocupantes presentes (041)",268,107,152,9
"Choza o cabaña",,,,
"Viviendas particulares (043)",5,,,5
"Ocupantes presentes (044)",6,,,6
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",4,3,1,
"Ocupantes presentes (050)",7,3,4,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",145,42,71,32
"Ocupantes presentes (056)",485,170,243,72
"Casa independiente",,,,
"Viviendas particulares (058)",138,41,66,31
"Ocupantes presentes (059)",463,165,228,70
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",7,1,5,1
"Ocupantes presentes (068)",22,5,15,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",1074,438,547,89
"Ocupantes presentes (110)",3291,1391,1718,182
"Casa independiente",,,,
"Viviendas particulares (112)",959,383,493,83
"Ocupantes presentes (113)",2986,1266,1549,171
"Departamento en edificio",,,,
"Viviendas particulares (115)",3,3,,
"Ocupantes presentes (116)",5,5,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",6,4,2,
"Ocupantes presentes (119)",7,5,2,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",103,45,52,6
"Ocupantes presentes (122)",290,112,167,11
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",3,3,,
"Ocupantes presentes (131)",3,3,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",986,410,511,65
"Ocupantes presentes (137)",3050,1293,1614,143
"Casa independiente",,,,
"Viviendas particulares (139)",878,356,462,60
"Ocupantes presentes (140)",2767,1173,1460,134
"Departamento en edificio",,,,
"Viviendas particulares (142)",3,3,,
"Ocupantes presentes (143)",5,5,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",6,4,2,
"Ocupantes presentes (146)",7,5,2,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",96,44,47,5
"Ocupantes presentes (149)",268,107,152,9
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",3,3,,
"Ocupantes presentes (158)",3,3,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",88,28,36,24
"Ocupantes presentes (164)",241,98,104,39
"Casa independiente",,,,
"Viviendas particulares (166)",81,27,31,23
"Ocupantes presentes (167)",219,93,89,37
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",7,1,5,1
"Ocupantes presentes (176)",22,5,15,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",642,196,328,118
"Ocupantes presentes (218)",2182,708,1131,343
"Casa independiente",,,,
"Viviendas particulares (220)",636,196,327,113
"Ocupantes presentes (221)",2172,708,1127,337
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",5,,,5
"Ocupantes presentes (233)",6,,,6
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,,1,
"Ocupantes presentes (239)",4,,4,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",585,182,293,110
"Ocupantes presentes (245)",1938,636,992,310
"Casa independiente",,,,
"Viviendas particulares (247)",579,182,292,105
"Ocupantes presentes (248)",1928,636,988,304
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",5,,,5
"Ocupantes presentes (260)",6,,,6
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,,1,
"Ocupantes presentes (266)",4,,4,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",57,14,35,8
"Ocupantes presentes (272)",244,72,139,33
"Casa independiente",,,,
"Viviendas particulares (274)",57,14,35,8
"Ocupantes presentes (275)",244,72,139,33
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
