"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",8327,1078,6,3301,2414,289,686,85,468
"Empleado (001)",1152,10,,50,167,68,435,46,376
"Obrero (002)",1777,171,,626,696,104,120,16,44
"Trabajador independiente (003)",3979,646,3,1874,1192,97,111,20,36
"Empleador o patrono (004)",82,9,,35,28,1,5,1,3
"Trabajador familiar no remunerado (005)",1280,234,3,689,312,17,14,2,9
"Trabajador del hogar (006)",57,8,,27,19,2,1,,
"Hombres (008)",5569,300,3,2227,1921,231,458,69,360
"Empleado (009)",765,,,23,116,47,258,39,282
"Obrero (010)",1436,44,,480,646,96,116,14,40
"Trabajador independiente (011)",2710,210,2,1374,937,73,73,15,26
"Empleador o patrono (012)",55,3,,25,20,1,3,,3
"Trabajador familiar no remunerado (013)",603,43,1,325,202,14,8,1,9
"Mujeres (016)",2758,778,3,1074,493,58,228,16,108
"Empleado (017)",387,10,,27,51,21,177,7,94
"Obrero (018)",341,127,,146,50,8,4,2,4
"Trabajador independiente (019)",1269,436,1,500,255,24,38,5,10
"Empleador o patrono (020)",27,6,,10,8,,2,1,
"Trabajador familiar no remunerado (021)",677,191,2,364,110,3,6,1,
"Trabajador del hogar (022)",57,8,,27,19,2,1,,
,,,,,,,,,
"URBANA (024)",6511,719,3,2427,1967,273,621,74,427
"Empleado (025)",1037,9,,43,145,64,394,40,342
"Obrero (026)",1499,118,,493,615,102,114,13,44
"Trabajador independiente (027)",2862,403,1,1302,922,91,96,18,29
"Empleador o patrono (028)",72,9,,28,25,1,5,1,3
"Trabajador familiar no remunerado (029)",986,173,2,534,241,13,12,2,9
"Trabajador del hogar (030)",55,7,,27,19,2,,,
"Hombres (032)",4254,176,1,1533,1519,216,414,59,336
"Empleado (033)",687,,,17,97,43,232,34,264
"Obrero (034)",1223,31,,370,566,95,110,11,40
"Trabajador independiente (035)",1860,114,1,894,690,67,61,13,20
"Empleador o patrono (036)",46,3,,19,17,1,3,,3
"Trabajador familiar no remunerado (037)",438,28,,233,149,10,8,1,9
"Mujeres (040)",2257,543,2,894,448,57,207,15,91
"Empleado (041)",350,9,,26,48,21,162,6,78
"Obrero (042)",276,87,,123,49,7,4,2,4
"Trabajador independiente (043)",1002,289,,408,232,24,35,5,9
"Empleador o patrono (044)",26,6,,9,8,,2,1,
"Trabajador familiar no remunerado (045)",548,145,2,301,92,3,4,1,
"Trabajador del hogar (046)",55,7,,27,19,2,,,
,,,,,,,,,
"RURAL (048)",1816,359,3,874,447,16,65,11,41
"Empleado (049)",115,1,,7,22,4,41,6,34
"Obrero (050)",278,53,,133,81,2,6,3,
"Trabajador independiente (051)",1117,243,2,572,270,6,15,2,7
"Empleador o patrono (052)",10,,,7,3,,,,
"Trabajador familiar no remunerado (053)",294,61,1,155,71,4,2,,
"Trabajador del hogar (054)",2,1,,,,,1,,
"Hombres (056)",1315,124,2,694,402,15,44,10,24
"Empleado (057)",78,,,6,19,4,26,5,18
"Obrero (058)",213,13,,110,80,1,6,3,
"Trabajador independiente (059)",850,96,1,480,247,6,12,2,6
"Empleador o patrono (060)",9,,,6,3,,,,
"Trabajador familiar no remunerado (061)",165,15,1,92,53,4,,,
"Mujeres (064)",501,235,1,180,45,1,21,1,17
"Empleado (065)",37,1,,1,3,,15,1,16
"Obrero (066)",65,40,,23,1,1,,,
"Trabajador independiente (067)",267,147,1,92,23,,3,,1
"Empleador o patrono (068)",1,,,1,,,,,
"Trabajador familiar no remunerado (069)",129,46,,63,18,,2,,
"Trabajador del hogar (070)",2,1,,,,,1,,
