"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ACOMAYO (000)",25449,1447,7687,3724,3235,3282,2213,1599,2262
"Quechua (001)",22262,1139,6402,3002,2895,3081,2071,1514,2158
"Aymara (002)",12,,7,3,,1,,,1
"Ashaninca (003)",2,,2,,,,,,
"Otra lengua nativa (004)",4,1,,2,,,,1,
"Castellano (005)",3117,304,1269,716,331,188,134,78,97
"Es sordomudo/a (007)",52,3,7,1,9,12,8,6,6
"Hombres (009)",12555,727,3941,1943,1583,1649,1110,701,901
"Quechua (010)",10792,574,3266,1535,1370,1527,1022,657,841
"Aymara (011)",9,,7,2,,,,,
"Ashaninca (012)",2,,2,,,,,,
"Otra lengua nativa (013)",2,1,,,,,,1,
"Castellano (014)",1714,152,662,406,209,110,81,39,55
"Es sordomudo/a (016)",36,,4,,4,12,7,4,5
"Mujeres (018)",12894,720,3746,1781,1652,1633,1103,898,1361
"Quechua (019)",11470,565,3136,1467,1525,1554,1049,857,1317
"Aymara (020)",3,,,1,,1,,,1
"Otra lengua nativa (022)",2,,,2,,,,,
"Castellano (023)",1403,152,607,310,122,78,53,39,42
"Es sordomudo/a (025)",16,3,3,1,5,,1,2,1
,,,,,,,,,
"URBANA (027)",13549,729,3963,1960,1681,1783,1230,882,1321
"Quechua (028)",11087,497,2947,1442,1431,1611,1112,807,1240
"Aymara (029)",10,,6,3,,,,,1
"Ashaninca (030)",2,,2,,,,,,
"Otra lengua nativa (031)",2,,,1,,,,1,
"Castellano (032)",2421,231,1004,514,247,166,111,71,77
"Es sordomudo/a (034)",27,1,4,,3,6,7,3,3
"Hombres (036)",6645,355,2046,1007,822,881,623,385,526
"Quechua (037)",5297,242,1502,722,673,779,554,347,478
"Aymara (038)",8,,6,2,,,,,
"Ashaninca (039)",2,,2,,,,,,
"Otra lengua nativa (040)",1,,,,,,,1,
"Castellano (041)",1317,113,533,283,149,96,63,35,45
"Es sordomudo/a (043)",20,,3,,,6,6,2,3
"Mujeres (045)",6904,374,1917,953,859,902,607,497,795
"Quechua (046)",5790,255,1445,720,758,832,558,460,762
"Aymara (047)",2,,,1,,,,,1
"Otra lengua nativa (049)",1,,,1,,,,,
"Castellano (050)",1104,118,471,231,98,70,48,36,32
"Es sordomudo/a (052)",7,1,1,,3,,1,1,
,,,,,,,,,
"RURAL (054)",11900,718,3724,1764,1554,1499,983,717,941
"Quechua (055)",11175,642,3455,1560,1464,1470,959,707,918
"Aymara (056)",2,,1,,,1,,,
"Otra lengua nativa (058)",2,1,,1,,,,,
"Castellano (059)",696,73,265,202,84,22,23,7,20
"Es sordomudo/a (061)",25,2,3,1,6,6,1,3,3
"Hombres (063)",5910,372,1895,936,761,768,487,316,375
"Quechua (064)",5495,332,1764,813,697,748,468,310,363
"Aymara (065)",1,,1,,,,,,
"Otra lengua nativa (067)",1,1,,,,,,,
"Castellano (068)",397,39,129,123,60,14,18,4,10
"Es sordomudo/a (070)",16,,1,,4,6,1,2,2
"Mujeres (072)",5990,346,1829,828,793,731,496,401,566
"Quechua (073)",5680,310,1691,747,767,722,491,397,555
"Aymara (074)",1,,,,,1,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",299,34,136,79,24,8,5,3,10
"Es sordomudo/a (079)",9,2,2,1,2,,,1,1
