"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AREQUIPA (000)",340701,8512,239,34966,104010,32148,53791,31228,75807
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",1065,1,,6,41,23,113,88,793
"Profes., científicos e intelectuales (002)",48861,,,,653,1178,4634,3539,38857
"Técnicos de nivel medio ytrab.asimilados (003)",28364,55,4,301,3289,3537,9685,4438,7055
"Jefes y empleados de oficina (004)",20518,9,,128,3247,2039,5364,3277,6454
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",60778,1909,48,6977,22098,7042,9324,6253,7127
"Agricult.trabaj. calif.agrop. y pesquros (006)",10516,705,8,2597,3494,665,851,806,1390
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",40662,568,27,3317,16653,5126,8208,3172,3591
"Obreros. construc., conf., papel, fab., instr (008)",42350,475,23,4295,19336,4778,5616,3794,4033
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",75938,4514,120,16413,32290,6695,6740,4570,4596
"Otra (010)",4767,,,,627,367,2352,646,775
"Ocupación no especificada (011)",6882,276,9,932,2282,698,904,645,1136
"Hombres (012)",196330,2239,103,17344,65662,19519,29531,20158,41774
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",679,1,,2,31,12,57,67,509
"Profes., científicos e intelectuales (014)",24242,,,,294,567,1548,2073,19760
"Técnicos de nivel medio ytrab.asimilados (015)",16602,9,1,146,1956,2372,5152,2846,4120
"Jefes y empleados de oficina (016)",9182,1,,77,1754,935,1734,1615,3066
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",23098,211,14,1767,8811,2812,3244,3180,3059
"Agricult.trabaj. calif.agrop. y pesquros (018)",7638,261,3,1668,2713,499,647,698,1149
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",31232,291,21,2492,12995,3900,6274,2501,2758
"Obreros. construc., conf., papel, fab., instr (020)",40389,426,22,4141,18656,4516,5264,3606,3758
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",35514,980,39,6669,16603,3212,3032,2621,2358
"Otra (022)",4328,,,,600,335,2144,573,676
"Ocupación no especificada (023)",3426,59,3,382,1249,359,435,378,561
"Mujeres (024)",144371,6273,136,17622,38348,12629,24260,11070,34033
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",386,,,4,10,11,56,21,284
"Profes., científicos e intelectuales (026)",24619,,,,359,611,3086,1466,19097
"Técnicos de nivel medio ytrab.asimilados (027)",11762,46,3,155,1333,1165,4533,1592,2935
"Jefes y empleados de oficina (028)",11336,8,,51,1493,1104,3630,1662,3388
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",37680,1698,34,5210,13287,4230,6080,3073,4068
"Agricult.trabaj. calif.agrop. y pesquros (030)",2878,444,5,929,781,166,204,108,241
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",9430,277,6,825,3658,1226,1934,671,833
"Obreros. construc., conf., papel, fab., instr (032)",1961,49,1,154,680,262,352,188,275
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",40424,3534,81,9744,15687,3483,3708,1949,2238
